time,mercury,venus,mars,jupiter,saturn,uranus,neptune,pluto,ceres
A.D. 2018-Jan-01 12:20:00.0000 UTC,-32.840996851510724,-14.513406967416255,-61.73293073351618,-59.83902075168334,-21.25859834946727,70.06931866033767,43.6651325730818,-5.131154411644683,-16.514405932912446
A.D. 2018-Jan-02 12:20:00.0000 UTC,-32.839202255667665,-14.167103047089219,-62.135639738334305,-60.55791865670836,-21.99556133551004,70.41533334956284,43.06111714955082,-5.914018820271472,-15.71687631858852
A.D. 2018-Jan-03 12:20:00.0000 UTC,-32.78479610520008,-13.817041303754527,-62.53644236767482,-61.27567618550836,-22.73377020295659,70.72257116714367,42.44694887828394,-6.699025640443907,-14.908248706138462
A.D. 2018-Jan-04 12:20:00.0000 UTC,-32.682252156818855,-13.463365713247434,-62.935327544173745,-61.99211768707328,-23.47321666259501,70.98925060320207,41.823043521838954,-7.486122728521581,-14.088730748630619
A.D. 2018-Jan-05 12:20:00.0000 UTC,-32.5355698131445,-13.106220149593485,-63.33228784277546,-62.70704755146221,-24.213892666538914,71.21374779431444,41.189802941855774,-8.275258276723253,-13.258539096795786
A.D. 2018-Jan-06 12:20:00.0000 UTC,-32.34832106813267,-12.745748279381678,-63.72731962184951,-63.42024779329593,-24.955790847312908,71.39464419507071,40.54761496485607,-9.066380308245577,-12.417900660253745
A.D. 2018-Jan-07 12:20:00.0000 UTC,-32.123694240604,-12.382092741532528,-64.12042258069809,-64.13147479625658,-25.69890492180137,71.53077140658877,39.896852926339754,-9.859433919615583,-11.567053025394634
A.D. 2018-Jan-08 12:20:00.0000 UTC,-31.864534127285086,-12.015396785790514,-64.51159920038327,-64.84045543734412,-26.443230065792164,71.62125064242704,39.237875171818295,-10.654345332999638,-10.706244218652678
A.D. 2018-Jan-09 12:20:00.0000 UTC,-31.573378040129295,-11.645812141209076,-64.90085386098036,-65.54688221126413,-27.188762735148092,71.66552424119415,38.5710251314604,-11.4512881053191,-9.835732541063363
A.D. 2018-Jan-10 12:20:00.0000 UTC,-31.2524882471151,-11.273499700392936,-65.28819210008798,-66.25040770982002,-27.935500335556412,71.66337697630797,37.896631713080886,-12.250024241361695,-8.955786393410227
