time,mercury,venus,mars,jupiter,saturn,uranus,neptune,pluto,ceres,sun,moon
A.D. 2018-Jan-01 12:20:00.0000 UTC,261.56274194156873,250.61808571349576,289.4461861422965,285.98048868617275,254.82593053397156,155.4243338681668,224.91812159035163,248.22764056844204,47.663171054623874,250.4417527455866,76.95947421862165
A.D. 2018-Jan-02 12:20:00.0000 UTC,261.2773423118714,250.52245507836392,289.47223088070916,286.6314957831305,255.1424527370959,158.11883021619906,225.9371907600985,248.6363338225619,48.2410556882303,250.47796410658654,70.7691851631175
A.D. 2018-Jan-03 12:20:00.0000 UTC,260.97222345985455,250.4380523337817,289.4995278118084,287.30862185452685,255.4578936914052,160.89576760369914,226.93401080333803,249.04135460122916,48.810133076603975,250.5216333107779,65.07875724131037
A.D. 2018-Jan-04 12:20:00.0000 UTC,260.6526861884673,250.36484775686503,289.5281709962564,288.01389713174,255.77234672147262,163.7483382663904,227.90912536617802,249.44283440748782,49.37047293047447,250.5727433760981,59.328744575996744
A.D. 2018-Jan-05 12:20:00.0000 UTC,260.3234032681987,250.3028064954622,289.55826439531717,288.7495513736384,256.0859068774737,166.66802313252526,228.86308989035967,249.84090450871938,49.92215164853867,250.6312759446544,52.915358539099934
A.D. 2018-Jan-06 12:20:00.0000 UTC,259.9884717338896,250.25188797459782,289.58992054628965,289.51803583506626,256.39866973494696,169.64465030339957,229.79646757423797,250.2356949869161,50.465249990091046,250.69721068230243,44.966798071122106
A.D. 2018-Jan-07 12:20:00.0000 UTC,259.65146655411564,250.21204703622783,289.62326016098166,290.3220496424783,256.7107307928885,172.6665441049157,230.70982543340637,250.62733549032345,50.99985115959116,250.77052471668344,33.95869489264589
A.D. 2018-Jan-08 12:20:00.0000 UTC,259.31549367886805,250.1832381812125,289.65841268235937,291.16457077690023,257.0221856448579,175.7207659961583,231.6037311708777,251.01597375655763,51.52603982235154,250.85119244082813,17.137029046700743
A.D. 2018-Jan-09 12:20:00.0000 UTC,258.9832406392731,250.16541541457906,289.69551668945235,292.0488907418013,257.3331304155037,178.7934371925549,232.4787504187132,251.40194670546174,52.043901589248584,250.93918537960013,351.3679381030574
A.D. 2018-Jan-10 12:20:00.0000 UTC,258.6570237878204,250.1585196431629,289.73472024433664,292.97865325917627,257.643662288745,181.87012663957898,233.33544458243625,251.78465309474026,52.5535228828795,251.0344721285452,320.7537421021371
A.D. 2018-Jan-11 12:20:00.0000 UTC,258.3388317638854,250.162476622792,289.776181483932,293.95789773165706,257.95388008119016,184.9362798376081,234.17436937404148,252.164876270898,53.05499109718679,251.137018416236,296.77551396415106
A.D. 2018-Jan-12 12:20:00.0000 UTC,258.030364999902,250.17720852570915,289.820069449534,294.991107964993,258.2638848020172,187.9776573671637,234.9960737997612,252.54258509910665,53.54839485542491,251.24678724699947,281.5788263720299
A.D. 2018-Jan-13 12:20:00.0000 UTC,257.7330710917722,250.20263706678884,289.8665644093959,296.08326567257376,258.5737799786163,190.98074858848392,235.80109893139664,252.91787740710382,54.03382394978807,251.3637388536612,271.81592735449925
A.D. 2018-Jan-14 12:20:00.0000 UTC,257.44817627410936,250.23868120803328,289.91585778217376,297.2399089595,258.88367183441903,193.9331318288858,236.5899766072073,253.29086802533692,54.51136907436192,251.4878305232349,265.01351280353197
A.D. 2018-Jan-15 12:20:00.0000 UTC,257.17671374089025,250.2852560615877,289.9681532591335,298.46719772924445,259.1936698411713,196.82376307399798,237.36322920608467,253.66167479720676,54.981122096931294,251.61901686603798,259.85824252122205
A.D. 2018-Jan-16 12:20:00.0000 UTC,256.91954844487344,250.34227250655232,290.0236669987156,299.77198294593325,259.5038869910601,199.64317432902743,238.12136894801318,254.03041665390174,55.443175921403856,251.7572497754696,255.64187035627808
A.D. 2018-Jan-17 12:20:00.0000 UTC,256.6773990457114,250.40963730758878,290.08262811268014,301.1618800328349,259.8144401675143,202.38358168783455,238.86489762528626,254.39721340463382,55.897624521079024,251.90247850450515,251.94080863875897
A.D. 2018-Jan-18 12:20:00.0000 UTC,256.45085719670897,250.48725332707951,290.14527915413515,302.64534388426495,260.12545050001665,205.03890765662098,239.594306506962,254.76218585099807,56.34456298928874,252.05464973410432,248.45783073205882
A.D. 2018-Jan-19 12:20:00.0000 UTC,256.24040413445806,250.57501935646567,290.21187552619625,304.23174001777716,260.43704336906717,207.60472730366132,240.3100757076141,255.12545562740047,56.784087163453066,252.21370724848657,244.93170269230103
A.D. 2018-Jan-20 12:20:00.0000 UTC,256.0464254238768,250.67283023204925,290.282685869521,305.9314088382155,260.74934865777357,210.0781588063453,241.0126742500129,255.48714532465016,57.21629361447157,252.37959189598087,241.0611058199465
A.D. 2018-Jan-21 12:20:00.0000 UTC,255.86922384696555,250.7805769246235,290.3579926043361,307.7557129214208,261.0625009903579,212.45771328002098,241.7025601716659,255.84737859858623,57.64127960102939,252.55224152998244,236.39504503206607
A.D. 2018-Jan-22 12:20:00.0000 UTC,255.7090304809592,250.898146383713,290.4380920031263,309.71705280331133,261.3766397889651,214.74311911347462,242.38018028081314,256.20628005691003,58.059142750321996,252.7315907159277,230.09682992763274
A.D. 2018-Jan-23 12:20:00.0000 UTC,255.5660143214857,251.02542131838484,290.52329435021926,311.82883282915833,261.6919093276859,216.9351364089204,243.0459698796357,256.5639751082685,58.46998068520439,252.91757038346324,220.309282150389
A.D. 2018-Jan-24 12:20:00.0000 UTC,255.4402907523521,251.1622800629387,290.61392472048766,314.10535151418554,262.00845893497365,219.03537373066024,243.70035267795106,256.92058991733427,58.87389076204133,253.11010756622272,202.35873168371947
A.D. 2018-Jan-25 12:20:00.0000 UTC,255.33192883200485,251.30859629113792,290.71032383169035,316.56157990822146,262.3264431914298,221.0461141391792,244.34374049033087,257.2762512844718,59.27096969414611,253.30912499919762,167.61436078988098
A.D. 2018-Jan-26 12:20:00.0000 UTC,255.24095777267502,251.46423883180302,290.8128499777464,319.2127846187783,262.646022415817,222.97015703005886,244.97653307200082,257.6310867184173,59.661313347997826,253.5145408304924,126.89023276381836
A.D. 2018-Jan-27 12:20:00.0000 UTC,255.1673727311845,251.6290715375637,290.9218820463612,322.0739415436498,262.96736349203564,224.81067794254025,245.59911792587968,257.98522471611994,60.04501668617494,253.72626842408658,103.39077977060836
A.D. 2018-Jan-28 12:20:00.0000 UTC,255.111140067085,251.80295323699463,291.03782353352375,325.15888205716413,263.29064111003294,226.57110709881698,246.21187006751072,258.3387953141143,60.4221739097555,253.94421632090658,91.31594345162036
A.D. 2018-Jan-29 12:20:00.0000 UTC,255.07220265830802,251.98573840022175,291.16110889382304,328.47912511562845,263.61603983889387,228.25502886544305,246.81515266658081,258.6919313883158,60.79287934619862,254.16828900138748,84.09554524222274
