time,mercury,venus,mars,jupiter,saturn,uranus,neptune,pluto,ceres
A.D. 2018-Jan-01 12:20:00.0000 UTC,1.0092632847898986,1.7093529402095697,1.9512324370178984,5.951313858883988,11.03288213655002,19.64954123249484,30.410843069994982,34.44992545336274,1.7195908959008601
A.D. 2018-Jan-02 12:20:00.0000 UTC,1.0294173832462432,1.709702060538354,1.942451807269598,5.9380026690776875,11.02993631530694,19.666286907780616,30.425929102458273,34.4527628760361,1.7118752813592173
A.D. 2018-Jan-03 12:20:00.0000 UTC,1.0490663768822652,1.7100134175122215,1.9336388370291764,5.924556305994971,11.026734253941818,19.68309794242122,30.44086706816411,34.45531009308565,1.7043755708168933
A.D. 2018-Jan-04 12:20:00.0000 UTC,1.068185797652859,1.7102869336386946,1.924793714099365,5.910976954075272,11.023276451951096,19.699969518609894,30.45565293541051,34.457566485407916,1.6970954806188179
A.D. 2018-Jan-05 12:20:00.0000 UTC,1.0867580491651088,1.7105224359019546,1.915916625419732,5.897266830986534,11.019563363554019,19.716896766111493,30.470282598207387,34.459531388095705,1.6900388051135438
A.D. 2018-Jan-06 12:20:00.0000 UTC,1.104771164702988,1.7107196871190167,1.9070077980856384,5.883428234134542,11.015595441836274,19.733874725515086,30.4847518712708,34.46120412683138,1.6832093949575682
A.D. 2018-Jan-07 12:20:00.0000 UTC,1.12221775951317,1.710878418345094,1.8980675257922803,5.869463571852013,11.011373181755165,19.75089833172518,30.499056504825987,34.46258405955973,1.67661112043114
A.D. 2018-Jan-08 12:20:00.0000 UTC,1.1390941454903745,1.7109983548574774,1.8890961798573176,5.855375377795294,11.006897153431705,19.767962414889023,30.513192209927016,34.46367061313337,1.6702478307943174
A.D. 2018-Jan-09 12:20:00.0000 UTC,1.1553995834751845,1.7110792330188997,1.8800942088375814,5.841166312531686,11.00216802332777,19.785061712009746,30.527154685592738,34.46446331016602,1.6641233174862893
A.D. 2018-Jan-10 12:20:00.0000 UTC,1.1711356537655668,1.7111208090120051,1.8710621320605898,5.8268391579420955,10.997186565247237,19.80219088269546,30.54093964251626,34.46496178456497,1.6582412843730117
A.D. 2018-Jan-11 12:20:00.0000 UTC,1.1863057286348428,1.7111228620480845,1.8620005313434154,5.812396809082984,10.991953664715968,19.819344524729114,30.554542821597064,34.465165794106916,1.6526053248468993
A.D. 2018-Jan-12 12:20:00.0000 UTC,1.200914532475013,1.7110851947040424,1.8529100434009644,5.797842266295174,10.986470320039361,19.83651718751919,30.567960007779863,34.465075222307526,1.647218903984732
A.D. 2018-Jan-13 12:20:00.0000 UTC,1.2149677764990785,1.7110076323830037,1.8437913539169406,5.783178628690515,10.980737642320692,19.85370338316859,30.5811870406361,34.464690083077485,1.6420853436946306
A.D. 2018-Jan-14 12:20:00.0000 UTC,1.228471856173559,1.7108900231042368,1.834645193247884,5.768409089036375,10.974756855645996,19.870897595800432,30.59421982323781,34.464010523161214,1.6372078091805744
A.D. 2018-Jan-15 12:20:00.0000 UTC,1.24143360082145,1.7107322381576058,1.825472333200495,5.753536929460565,10.968529297784738,19.888094290102824,30.607054330563304,34.46303682502369,1.6325892957105603
A.D. 2018-Jan-16 12:20:00.0000 UTC,1.2538600661112678,1.7105341736646862,1.8162735841340143,5.73856551718536,10.962056421176134,19.905287920011066,30.619686618198834,34.461769410024395,1.6282326152773723
A.D. 2018-Jan-17 12:20:00.0000 UTC,1.265758361399609,1.7102957527787321,1.8070497916874144,5.7234982995553505,10.955339793664585,19.922472938188488,30.63211283161286,34.46020884148588,1.6241403832850296
A.D. 2018-Jan-18 12:20:00.0000 UTC,1.277135505098256,1.710016928114096,1.7978018326296747,5.708338797851214,10.948381098378782,19.939643806613805,30.64432921587201,34.458355827093875,1.6203150057136166
A.D. 2018-Jan-19 12:20:00.0000 UTC,1.287998302380975,1.7096976840128564,1.7885306095979692,5.6930905996820345,10.941182132272466,19.956795008244047,30.656332125418622,34.456211220098986,1.6167586673514727
A.D. 2018-Jan-20 12:20:00.0000 UTC,1.2983532405979985,1.709338038397701,1.7792370447262873,5.6777573500102125,10.933744803075845,19.973921059502853,30.668118033479313,34.453776018975496,1.6134733216057535
A.D. 2018-Jan-21 12:20:00.0000 UTC,1.3082063986623607,1.708938044146888,1.7699220722769644,5.6623427409782146,10.926071124618069,19.991016523313338,30.6796835407997,34.45105136541378,1.6104606822005687
A.D. 2018-Jan-22 12:20:00.0000 UTC,1.3175633673404252,1.7084977900588494,1.760586630308468,5.6468505006180365,10.918163210546236,20.008076022554075,30.69102538360859,34.448038540641974,1.6077222168885654
A.D. 2018-Jan-23 12:20:00.0000 UTC,1.3264291777544401,1.7080174014373368,1.751231651148747,5.631284380256255,10.910023266292976,20.025094254072982,30.702140440846065,34.44473895996263,1.6052591432983363
A.D. 2018-Jan-24 12:20:00.0000 UTC,1.334808235463389,1.7074970400341227,1.7418580500879632,5.615648140105867,10.901653578723874,20.04206600356705,30.71302574055954,34.441154164990756,1.6030724273383687
