pluto,sun,moon
-21.705705419633894,-23.000188933010442,-23.000188933010442
-21.70264304300432,-22.913992232903876,-22.913992232903876
-21.699560512105865,-22.820192263353672,-22.820192263353672
-21.696458687083485,-22.718834892958967,-22.718834892958967
-21.69333818914591,-22.609969457182494,-22.609969457182494
-21.690198847846275,-22.49364872320957,-22.49364872320957
-21.68703700412252,-22.369928868610227,-22.369928868610227
-21.683822099620883,-22.238869461617746,-22.238869461617746
-21.680457740053747,-22.100533434825444,-22.100533434825444
-21.677503219853442,-21.954987048854818,-21.954987048854818
-21.674324444969287,-21.802299845881144,-21.802299845881144
-21.67111829191613,-21.642544594286996,-21.642544594286996
-21.667900889715423,-21.47579722560063,-21.47579722560063
-21.664675601736402,-21.302136763930186,-21.302136763930186
-21.661444173388386,-21.121645246950145,-21.121645246950145
-21.658208006724983,-20.934407636662577,-20.934407636662577
-21.654968408284763,-20.74051171778906,-20.74051171778906
-21.65172665327747,-20.540047981985374,-20.540047981985374
-21.64848400691995,-20.333109496839413,-20.333109496839413
-21.645241728573744,-20.119791759312584,-20.119791759312584
-21.64200107507148,-19.90019253342899,-19.90019253342899
-21.63876330037645,-19.674411671048123,-19.674411671048123
-21.635529654898086,-19.442550912496444,-19.442550912496444
-21.63230138448868,-19.20471366141635,-19.20471366141635
-21.62907972933575,-18.96100472707218,-18.96100472707218
-21.625865922967268,-18.71153003020253,-18.71153003020253
-21.62266119169685,-18.45639627868216,-18.45639627868216
-21.619466754972184,-18.19571063865155,-18.19571063865155
-21.616283827119624,-17.929580451769134,-17.929580451769134
-21.61311362074697,-17.65811306651784,-17.65811306651784
-21.609957351494756,-17.381415840803534,-17.381415840803534
-21.606816243114626,-17.099596324000338,-17.099596324000338
-21.603691531460502,-16.812762557880426,-16.812762557880426
-21.600584466280527,-16.521023390609447,-16.521023390609447
-21.597496310565877,-16.224488706804372,-16.224488706804372
-21.594428338073524,-15.923269528332042,-15.923269528332042
-21.59138183002004,-15.617477996669509,-15.617477996669509
-21.588358071806788,-15.307227279171778,-15.307227279171778
-21.585358350255856,-14.992631445157341,-14.992631445157341
-21.58238395147931,-14.673805345532323,-14.673805345532323
-21.57943615928341,-14.35086451412175,-14.35086451412175
-21.576516253917042,-14.023925096187309,-14.023925096187309
-21.57362551096358,-13.693103800987458,-13.693103800987458
-21.57076520020611,-13.358517869732225,-13.358517869732225
-21.567936584343325,-13.020285046896271,-13.020285046896271
-21.565140917493252,-12.67852354129799,-12.67852354129799
-21.562379443486694,-12.3333519638885,-12.3333519638885
-21.55965339401584,-11.984889232051334,-11.984889232051334
-21.556963986751654,-11.633254434985899,-11.633254434985899
-21.5543124235661,-11.278566660045204,-11.278566660045204
-21.551699888986164,-10.920944783780126,-10.920944783780126
-21.54912754898015,-10.56050723251924,-10.56050723251924
-21.54659655015437,-10.19737171595435,-10.19737171595435
-21.544108019447407,-9.831654936099243,-9.831654936099243
-21.541663064454834,-9.463472277522076,-9.463472277522076
-21.539262774575345,-9.092937497009009,-9.092937497009009
-21.53690822317435,-8.720162452199377,-8.720162452199377
-21.534600470830362,-8.34525693183057,-8.34525693183057
-21.532340569413538,-7.968328658532158,-7.968328658532158
-21.530129566321456,-7.589483510390963,-7.589483510390963
-21.527968507893306,-7.2088259468523415,-7.2088259468523415
-21.52585844110304,-6.826459553223267,-6.826459553223267
-21.523800413142084,-6.442487577875608,-6.442487577875608
-21.52179546918335,-6.057013351921508,-6.057013351921508
-21.519844649094797,-5.6701405389847395,-5.6701405389847395
-21.517948983945093,-5.28197322546107,-5.28197322546107
-21.516109492902206,-4.892615900237441,-4.892615900237441
-21.514327180788865,-4.502173381577702,-4.502173381577702
-21.51260303628538,-4.110750738223107,-4.110750738223107
-21.510938030614437,-3.718453234568771,-3.718453234568771
-21.509333116487777,-3.325386313802753,-3.325386313802753
-21.507789227095984,-2.931655620330956,-2.931655620330956
-21.506307274954555,-2.537367052915925,-2.537367052915925
-21.504888150470293,-2.142626831465239,-2.142626831465239
-21.503532720166373,-1.747541553083141,-1.747541553083141
-21.502241824602116,-1.352218208283716,-1.352218208283716
-21.501016276140703,-0.9567641288445092,-0.9567641288445092
-21.499856856824607,-0.561286847045332,-0.561286847045332
-21.498764316678116,-0.16589386178278914,-0.16589386178278914
-21.497739372734472,0.22930767391005327,0.22930767391005327
-21.496782708980465,0.6242113139039427,0.6242113139039427
-21.49589497726823,1.0187116920062103,1.0187116920062103
-21.49507679911663,1.412704866789967,1.412704866789967
-21.49432876825476,1.8060886351901775,1.8060886351901775
-21.493651453732795,2.1987627785208534,2.1987627785208534
-21.493045403394756,2.590629485613897,2.590629485613897
-21.492511147428147,2.981591732456507,2.981591732456507
-21.492049201581576,3.3715562143155533,3.3715562143155533
-21.491660069547795,3.760430239720998,3.760430239720998
-21.491344244052083,4.1481224458312695,4.1481224458312695
-21.49110220641868,4.534542167944237,4.534542167944237
-21.490934424746143,4.919598928542058,4.919598928542058
