name_id,date,time,correct,displaced,bracketed,body_bracket,first_condition,degree,degree_type,energy,conditionbody
1,2018-10-10,12:04:00,1%,0%,YES,Mercury,Mercury,1,Seperating,Negative,Moon
1,2018-10-10,12:04:00,1%,0%,YES,Mercury,Mercury,0,Seperating,Positive,Moon
1,2018-10-11,10:38:00,0.5%,0.5%,YES,Venus,Venus,3,Seperating,Positive,Moon
1,2018-10-16,08:23:00,0.8333333333333334%,0.16666666666666666%,YES,Saturn,Pluto,3,Applying,Positive,Moon
4,2019-01-31,09:35:00,0%,1%,YES,Jupiter,Jupiter,1,Seperating,Negative,Moon
4,2019-03-02,09:25:00,0.5%,0.5%,YES,Saturn,Pluto,0,Applying,Positive,Moon
4,2019-04-05,09:42:00,1%,0%,YES,Chiron,Sun,2,Applying,Positive,Moon
2,2018-10-09,13:17:00,0%,1%,YES,Sun,Ceres,2,Seperating,Negative,Moon
2,2018-10-09,13:17:00,0%,1%,YES,Sun,Sun,1,Seperating,Negative,Moon
2,2018-10-09,13:17:00,0%,1%,YES,Ceres,Ceres,2,Seperating,Negative,Moon
2,2018-10-09,13:17:00,0%,1%,YES,Ceres,Sun,1,Seperating,Negative,Moon
1,2018-10-10,12:04:00,1%,0%,YES,Mercury,Mercury,1,Seperating,Negative,Moon
1,2018-10-10,12:04:00,1%,0%,YES,Mercury,Mercury,0,Seperating,Positive,Moon
2,2018-11-16,14:39:00,0.7083333333333334%,0.2916666666666667%,YES,Mars,Mars,1,Seperating,Negative,Moon
2,2019-02-05,11:40:00,0.16666666666666666%,0.8333333333333334%,YES,Sun,Sun,3,Seperating,Negative,Moon
2,2019-02-05,11:40:00,0.16666666666666666%,0.8333333333333334%,YES,Sun,Mercury,0,Applying,Positive,Moon
3,2019-01-31,09:00:00,0%,1%,YES,Jupiter,Jupiter,1,Seperating,Negative,Moon
3,2019-04-04,08:45:00,0%,1%,YES,Mercury,Chiron,2,Applying,Positive,Moon
3,2019-04-05,08:40:00,0.5833333333333334%,0.4166666666666667%,YES,Chiron,Sun,2,Applying,Positive,Moon
2,2019-04-23,10:20:00,0%,1%,YES,Ceres,Jupiter,3,Applying,Positive,Moon
2,2019-05-03,11:55:00,0%,1%,YES,Venus,Mercury,1,Applying,Positive,Moon
2,2019-05-04,11:40:00,0.375%,0.625%,YES,Uranus,Uranus,1,Seperating,Negative,Moon
2,2019-05-04,11:40:00,0.375%,0.625%,YES,Mercury,Uranus,1,Seperating,Negative,Moon
2,2019-06-05,15:40:00,0.75%,0.25%,YES,Mercury,Mars,2,Applying,Positive,Moon
1,2019-05-03,10:35:00,0%,1%,YES,Venus,Mercury,2,Applying,Positive,Moon
1,2019-06-05,14:00:00,0.6666666666666666%,0.3333333333333333%,YES,Mercury,Mars,3,Applying,Positive,Moon
3,2019-05-03,08:45:00,0.4166666666666667%,0.5833333333333334%,YES,Venus,Mercury,2,Applying,Positive,Moon
3,2019-05-04,08:25:00,1%,0%,YES,Uranus,Uranus,0,Seperating,Negative,Moon
3,2019-06-01,10:30:00,0.3%,0.7%,YES,Uranus,Venus,1,Applying,Positive,Moon
3,2019-06-05,14:00:00,0.8333333333333334%,0.16666666666666666%,YES,Mercury,Mars,3,Applying,Positive,Moon
4,2019-05-03,11:15:00,0.16666666666666666%,0.8333333333333334%,YES,Venus,Mercury,1,Applying,Positive,Moon
4,2019-06-05,15:40:00,0.875%,0.125%,YES,Mercury,Mars,2,Applying,Positive,Moon
4,2019-05-04,10:45:00,0%,1%,YES,Uranus,Uranus,1,Seperating,Negative,Moon
4,2019-05-04,10:45:00,0%,1%,YES,Mercury,Uranus,1,Seperating,Negative,Moon
2,2019-08-09,11:35:00,0.7%,1.3%,YES,Ceres,Ceres,2,Seperating,Negative,Moon
2,2019-08-30,10:10:00,0.875%,0.125%,YES,Mercury,Mercury,0,Seperating,Negative,Moon
2,2019-08-30,10:10:00,0.875%,0.125%,YES,Mercury,Sun,3,Applying,Positive,Moon
