name_id,date,time,correct,displaced,bracketed,body_bracket,first_condition,degree,degree_type,energy,conditionbody
1,2018-10-10,12:04:00,1%,0%,YES,Mercury,Venus,8,Applying,Positive,Moon
1,2018-10-10,12:04:00,1%,0%,YES,Mercury,Venus,9,Applying,Positive,Moon
1,2018-10-11,10:38:00,0.5%,0.5%,YES,Venus,Jupiter,10,Applying,Positive,Moon
1,2018-11-08,08:40:00,0.375%,0.625%,YES,Sun,Sun,5,Seperating,Negative,Moon
1,2018-11-08,08:40:00,0.375%,0.625%,YES,Sun,Jupiter,8,Applying,Positive,Moon
1,2018-11-09,08:37:00,1%,0%,YES,Jupiter,Jupiter,4,Seperating,Negative,Moon
1,2018-11-09,08:37:00,1%,0%,YES,Jupiter,Mercury,5,Applying,Positive,Moon
1,2018-11-12,10:05:00,1%,0%,YES,Saturn,Saturn,6,Seperating,Negative,Moon
1,2018-11-12,10:05:00,1%,0%,YES,Saturn,Pluto,6,Applying,Positive,Moon
4,2018-11-08,13:15:00,0.5%,0.5%,YES,Sun,Sun,7,Applying,Negative,Moon
4,2018-11-08,13:15:00,0.5%,0.5%,YES,Sun,Jupiter,6,Applying,Positive,Moon
4,2019-01-31,09:35:00,0%,1%,YES,Jupiter,Venus,6,Applying,Positive,Moon
4,2019-02-08,08:56:00,0%,1%,YES,Neptune,Neptune,9,Seperating,Negative,Moon
4,2019-02-08,08:56:00,0%,1%,YES,Neptune,Chiron,5,Applying,Positive,Moon
4,2019-02-27,10:05:00,0.8333333333333334%,0.16666666666666666%,YES,Ceres,Ceres,7,Seperating,Negative,Moon
4,2019-02-27,10:05:00,0.8333333333333334%,0.16666666666666666%,YES,Ceres,Jupiter,5,Applying,Positive,Moon
4,2019-03-02,09:25:00,0.5%,0.5%,YES,Saturn,Venus,8,Applying,Positive,Moon
4,2019-03-02,09:25:00,0.5%,0.5%,YES,Saturn,Saturn,4,Seperating,Negative,Moon
4,2019-04-05,09:42:00,1%,0%,YES,Chiron,Chiron,10,Applying,Negative,Moon
4,2019-04-06,10:16:00,0.5%,0.5%,YES,Sun,Sun,9,Seperating,Negative,Moon
4,2019-04-06,10:16:00,0.5%,0.5%,YES,Sun,Uranus,6,Applying,Positive,Moon
1,2018-11-07,08:45:00,0.3333333333333333%,0.6666666666666666%,YES,Ceres,Ceres,9,Seperating,Negative,Moon
1,2018-11-07,08:45:00,0.3333333333333333%,0.6666666666666666%,YES,Ceres,Sun,6,Applying,Positive,Moon
2,2018-10-09,13:17:00,0%,1%,YES,Sun,Mercury,10,Applying,Positive,Moon
2,2018-10-09,13:17:00,0%,1%,YES,Ceres,Mercury,10,Applying,Positive,Moon
1,2018-10-10,12:04:00,1%,0%,YES,Mercury,Venus,8,Applying,Positive,Moon
1,2018-10-10,12:04:00,1%,0%,YES,Mercury,Venus,9,Applying,Positive,Moon
2,2019-10-11,11:58:00,1%,0%,YES,Venus,Venus,4,Seperating,Negative,Moon
2,2019-10-11,11:58:00,1%,0%,YES,Venus,Jupiter,9,Applying,Positive,Moon
2,2018-11-16,14:39:00,0.7083333333333334%,0.2916666666666667%,YES,Mars,Neptune,10,Applying,Positive,Moon
3,2018-11-07,10:05:00,0.6666666666666666%,0.3333333333333333%,YES,Ceres,Venus,10,Seperating,Negative,Moon
3,2018-11-07,10:05:00,0.6666666666666666%,0.3333333333333333%,YES,Ceres,Ceres,10,Seperating,Negative,Moon
3,2018-11-07,10:05:00,0.6666666666666666%,0.3333333333333333%,YES,Ceres,Sun,6,Applying,Positive,Moon
3,2018-11-07,10:05:00,0.6666666666666666%,0.3333333333333333%,YES,Venus,Venus,10,Seperating,Negative,Moon
3,2018-11-07,10:05:00,0.6666666666666666%,0.3333333333333333%,YES,Venus,Ceres,10,Seperating,Negative,Moon
3,2018-11-07,10:05:00,0.6666666666666666%,0.3333333333333333%,YES,Venus,Sun,6,Applying,Positive,Moon
