name_id,date,time,correct,displaced,bracketed,body_bracket,degree,degree_type,symbol,body,body1
1,2018-10-10,12:04:00,1%,0%,YES,Mercury,0,Applying,90,Venus,Mars
1,2018-10-16,08:23:00,0.8333333333333334%,0.16666666666666666%,YES,Saturn,3,Seperating,90,Pluto,Sun
4,2019-01-31,09:35:00,0%,1%,YES,Jupiter,3,Applying,90,Venus,Chiron
2,2018-10-09,13:17:00,0%,1%,YES,Sun,2,Applying,90,Sun,Pluto
2,2018-10-09,13:17:00,0%,1%,YES,Ceres,2,Applying,90,Sun,Pluto
1,2018-10-10,12:04:00,1%,0%,YES,Mercury,0,Applying,90,Venus,Mars
2,2018-11-16,14:39:00,0.7083333333333334%,0.2916666666666667%,YES,Mars,0,Applying,90,Neptune,Mercury
3,2019-01-31,09:00:00,0%,1%,YES,Jupiter,3,Applying,90,Venus,Chiron
2,2019-05-03,11:55:00,0%,1%,YES,Venus,0,Seperating,90,Mercury,Pluto
2,2019-05-03,11:55:00,0%,1%,YES,Venus,3,Applying,90,Mercury,Saturn
1,2019-05-03,10:35:00,0%,1%,YES,Venus,0,Seperating,90,Mercury,Pluto
1,2019-05-03,10:35:00,0%,1%,YES,Venus,3,Seperating,90,Mercury,Saturn
3,2019-05-03,08:45:00,0.4166666666666667%,0.5833333333333334%,YES,Venus,0,Seperating,90,Mercury,Pluto
3,2019-05-03,08:45:00,0.4166666666666667%,0.5833333333333334%,YES,Venus,2,Seperating,90,Mercury,Saturn
4,2019-05-03,11:15:00,0.16666666666666666%,0.8333333333333334%,YES,Venus,0,Seperating,90,Mercury,Pluto
4,2019-05-03,11:15:00,0.16666666666666666%,0.8333333333333334%,YES,Venus,3,Seperating,90,Mercury,Saturn
4,2019-06-25,10:00:00,0.6666666666666666%,0.3333333333333333%,YES,Neptune,2,Applying,90,Chiron,Sun
2,2019-08-09,11:35:00,0.7%,1.3%,YES,Ceres,3,Applying,90,Jupiter,Neptune
2,2019-08-30,10:10:00,0.875%,0.125%,YES,Mercury,0,Seperating,90,Sun,Ceres
3,2019-08-09,14:05:00,0.9%,0.1%,YES,Ceres,3,Applying,90,Jupiter,Neptune
3,2019-09-06,12:55:00,0.14285714285714285%,0.8571428571428571%,YES,Ceres,1,Applying,90,Jupiter,Neptune
3,2019-09-06,12:55:00,0.14285714285714285%,0.8571428571428571%,YES,Ceres,3,Applying,90,Jupiter,Mars
3,2019-09-06,12:55:00,0.14285714285714285%,0.8571428571428571%,YES,Ceres,0,Applying,90,Jupiter,Mercury
3,2019-09-06,12:55:00,0.14285714285714285%,0.8571428571428571%,YES,Ceres,2,Applying,90,Jupiter,Sun
4,2019-08-09,11:35:00,1%,0%,YES,Ceres,3,Applying,90,Jupiter,Neptune
4,2019-08-30,10:10:00,1%,0%,YES,Mercury,3,Applying,90,Mercury,Ceres
4,2019-09-06,09:40:00,1%,0%,YES,Ceres,1,Applying,90,Jupiter,Neptune
4,2019-09-06,09:40:00,1%,0%,YES,Ceres,3,Applying,90,Jupiter,Mars
4,2019-09-06,09:40:00,1%,0%,YES,Ceres,0,Seperating,90,Jupiter,Mercury
4,2019-09-06,09:40:00,1%,0%,YES,Ceres,2,Applying,90,Jupiter,Sun
1,2019-08-09,14:05:00,0.3%,0.7%,YES,Ceres,3,Applying,90,Jupiter,Neptune
1,2019-09-06,09:40:00,1%,0%,YES,Mars,1,Applying,90,Jupiter,Neptune
1,2019-09-06,09:40:00,1%,0%,YES,Mars,3,Applying,90,Jupiter,Mars
1,2019-09-06,09:40:00,1%,0%,YES,Mars,0,Seperating,90,Jupiter,Mercury
1,2019-09-06,09:40:00,1%,0%,YES,Mars,2,Applying,90,Jupiter,Sun
4,2020-05-23,13:05:00,0.875%,0.125%,YES,Sun,0,Seperating,90,Venus,Neptune
1,2020-05-23,13:05:00,1%,0%,YES,Sun,0,Seperating,90,Venus,Neptune
2,2020-05-23,13:05:00,1%,0%,YES,Sun,0,Seperating,90,Venus,Neptune
3,2020-05-23,13:05:00,0.75%,0.25%,YES,Sun,0,Seperating,90,Venus,Neptune
