name_id,date,time,correct,displaced,bracketed,body_bracket,degree,degree_type,symbol,body,body1
1,2018-10-10,12:04:00,1%,0%,YES,Mercury,9,Applying,90,Mercury,Mars
1,2018-11-09,08:37:00,1%,0%,YES,Jupiter,4,Applying,90,Mercury,Neptune
1,2018-11-12,10:05:00,1%,0%,YES,Saturn,6,Applying,90,Pluto,Venus
1,2018-11-12,10:05:00,1%,0%,YES,Saturn,10,Applying,90,Pluto,Uranus
4,2018-11-08,13:15:00,0.5%,0.5%,YES,Sun,4,Applying,90,Jupiter,Mars
4,2019-02-08,08:56:00,0%,1%,YES,Neptune,5,Seperating,90,Chiron,Venus
4,2019-02-27,10:05:00,0.8333333333333334%,0.16666666666666666%,YES,Ceres,5,Seperating,90,Jupiter,Neptune
4,2019-02-27,10:05:00,0.8333333333333334%,0.16666666666666666%,YES,Ceres,4,Seperating,90,Jupiter,Mercury
4,2019-03-02,09:25:00,0.5%,0.5%,YES,Saturn,7,Seperating,90,Neptune,Moon
4,2019-04-05,09:42:00,1%,0%,YES,Chiron,7,Applying,90,Sun,Pluto
4,2019-04-05,09:42:00,1%,0%,YES,Chiron,4,Applying,90,Sun,Saturn
4,2019-04-06,10:16:00,0.5%,0.5%,YES,Sun,8,Seperating,90,Uranus,Pluto
1,2018-11-07,08:45:00,0.3333333333333333%,0.6666666666666666%,YES,Ceres,10,Applying,90,Sun,Neptune
1,2018-10-10,12:04:00,1%,0%,YES,Mercury,9,Applying,90,Mercury,Mars
3,2018-11-07,10:05:00,0.6666666666666666%,0.3333333333333333%,YES,Ceres,10,Applying,90,Sun,Mars
3,2018-11-07,10:05:00,0.6666666666666666%,0.3333333333333333%,YES,Venus,10,Applying,90,Sun,Mars
3,2018-11-09,10:22:00,1%,0%,YES,Jupiter,4,Applying,90,Mercury,Neptune
3,2019-02-08,08:00:00,1%,0%,YES,Neptune,10,Applying,90,Chiron,Jupiter
3,2019-02-08,08:00:00,1%,0%,YES,Neptune,5,Seperating,90,Chiron,Venus
3,2019-02-27,08:50:00,0.7%,0.3%,YES,Ceres,8,Applying,90,Jupiter,Chiron
3,2019-02-27,08:50:00,0.7%,0.3%,YES,Ceres,5,Seperating,90,Jupiter,Neptune
3,2019-02-27,08:50:00,0.7%,0.3%,YES,Ceres,4,Seperating,90,Jupiter,Mercury
3,2019-04-04,08:45:00,0%,1%,YES,Mercury,8,Seperating,90,Chiron,Jupiter
3,2019-04-05,08:40:00,0.5833333333333334%,0.4166666666666667%,YES,Chiron,8,Applying,90,Sun,Pluto
3,2019-04-05,08:40:00,0.5833333333333334%,0.4166666666666667%,YES,Chiron,4,Applying,90,Sun,Saturn
3,2019-04-06,09:22:00,0%,1%,YES,Sun,8,Seperating,90,Uranus,Pluto
2,2019-04-23,10:20:00,0%,1%,YES,Ceres,9,Seperating,90,Jupiter,Chiron
2,2019-04-23,10:20:00,0%,1%,YES,Ceres,6,Applying,90,Jupiter,Neptune
2,2019-04-23,10:20:00,0%,1%,YES,Ceres,8,Seperating,90,Jupiter,Venus
2,2019-05-02,11:55:00,1%,0%,YES,Chiron,9,Applying,90,Venus,Pluto
2,2019-05-02,11:55:00,1%,0%,YES,Chiron,6,Applying,90,Venus,Saturn
2,2019-06-04,13:00:00,1%,0%,YES,Sun,6,Applying,90,Mercury,Chiron
2,2019-06-05,15:40:00,0.75%,0.25%,YES,Mercury,7,Seperating,90,Mars,Chiron
2,2019-07-02,14:00:00,0%,1%,YES,Venus,4,Seperating,90,Sun,Chiron
1,2019-05-02,10:35:00,0.3333333333333333%,0.6666666666666666%,YES,Chiron,9,Applying,90,Venus,Pluto
1,2019-05-02,10:35:00,0.3333333333333333%,0.6666666666666666%,YES,Chiron,6,Applying,90,Venus,Saturn
1,2019-06-04,09:20:00,0.5833333333333334%,0.4166666666666667%,YES,Sun,6,Applying,90,Mercury,Chiron
