name_id,date,time,correct,displaced,bracketed,body_bracket,degree,degree_type,symbol,body,body1
1,2018-11-12,10:05:00,1%,0%,YES,Saturn,0,Seperating,60,Pluto,Sun
2,2019-02-05,11:40:00,0.16666666666666666%,0.8333333333333334%,YES,Sun,2,Seperating,60,Mercury,Jupiter
2,2019-02-05,11:40:00,0.16666666666666666%,0.8333333333333334%,YES,Sun,3,Applying,60,Mercury,Mars
3,2019-04-04,08:45:00,0%,1%,YES,Mercury,0,Applying,60,Chiron,Mars
2,2019-05-03,11:55:00,0%,1%,YES,Venus,2,Seperating,60,Mercury,Mars
1,2019-05-03,10:35:00,0%,1%,YES,Venus,2,Seperating,60,Mercury,Mars
3,2019-05-03,08:45:00,0.4166666666666667%,0.5833333333333334%,YES,Venus,1,Seperating,60,Mercury,Mars
3,2019-06-01,10:30:00,0.3%,0.7%,YES,Uranus,1,Seperating,60,Venus,Neptune
4,2019-05-03,11:15:00,0.16666666666666666%,0.8333333333333334%,YES,Venus,2,Seperating,60,Mercury,Mars
4,2019-06-01,12:25:00,0.8333333333333334%,0.16666666666666666%,YES,Uranus,1,Seperating,60,Venus,Neptune
2,2019-09-09,08:15:00,0.7083333333333334%,0.2916666666666667%,YES,Saturn,3,Seperating,60,Pluto,Neptune
1,2019-11-29,14:15:00,0.5833333333333334%,0.4166666666666667%,YES,Ceres,1,Seperating,60,Saturn,Neptune
1,2019-11-29,14:15:00,0.5833333333333334%,0.4166666666666667%,YES,Ceres,0,Applying,60,Saturn,Mercury
1,2019-11-29,14:15:00,0.5833333333333334%,0.4166666666666667%,YES,Ceres,1,Seperating,60,Saturn,Neptune
1,2019-11-29,14:15:00,0.5833333333333334%,0.4166666666666667%,YES,Ceres,0,Applying,60,Saturn,Mercury
1,2019-11-29,14:15:00,0.5833333333333334%,0.4166666666666667%,YES,Venus,1,Seperating,60,Saturn,Neptune
1,2019-11-29,14:15:00,0.5833333333333334%,0.4166666666666667%,YES,Venus,0,Applying,60,Saturn,Mercury
1,2019-11-29,14:15:00,0.5833333333333334%,0.4166666666666667%,YES,Venus,1,Seperating,60,Saturn,Neptune
1,2019-11-29,14:15:00,0.5833333333333334%,0.4166666666666667%,YES,Venus,0,Applying,60,Saturn,Mercury
1,2019-11-29,14:15:00,0.5833333333333334%,0.4166666666666667%,YES,Jupiter,1,Seperating,60,Saturn,Neptune
