name_id,date,time,correct,displaced,bracketed,body_bracket,degree,degree_type,symbol,body,body1
1,2018-10-10,12:04:00,1%,0%,YES,Mercury,6,Applying,60,Venus,Saturn
1,2018-10-10,12:04:00,1%,0%,YES,Mercury,9,Applying,60,Mercury,Saturn
1,2018-10-11,10:38:00,0.5%,0.5%,YES,Venus,5,Seperating,60,Jupiter,Pluto
1,2018-10-16,08:23:00,0.8333333333333334%,0.16666666666666666%,YES,Saturn,6,Seperating,60,Pluto,Jupiter
1,2018-10-16,08:23:00,0.8333333333333334%,0.16666666666666666%,YES,Saturn,4,Seperating,60,Pluto,Neptune
1,2018-11-12,10:05:00,1%,0%,YES,Saturn,5,Seperating,60,Pluto,Neptune
4,2019-02-08,08:56:00,0%,1%,YES,Neptune,7,Applying,60,Chiron,Pluto
4,2019-03-02,09:25:00,0.5%,0.5%,YES,Saturn,6,Seperating,60,Pluto,Mercury
4,2019-03-02,09:25:00,0.5%,0.5%,YES,Saturn,6,Applying,60,Pluto,Neptune
1,2018-11-07,08:45:00,0.3333333333333333%,0.6666666666666666%,YES,Ceres,4,Applying,60,Sun,Pluto
1,2018-11-07,08:45:00,0.3333333333333333%,0.6666666666666666%,YES,Ceres,9,Seperating,60,Sun,Saturn
1,2018-10-10,12:04:00,1%,0%,YES,Mercury,6,Applying,60,Venus,Saturn
1,2018-10-10,12:04:00,1%,0%,YES,Mercury,9,Applying,60,Mercury,Saturn
2,2019-10-11,11:58:00,1%,0%,YES,Venus,5,Seperating,60,Jupiter,Pluto
2,2018-11-16,14:39:00,0.7083333333333334%,0.2916666666666667%,YES,Mars,5,Seperating,60,Neptune,Pluto
2,2018-11-16,14:39:00,0.7083333333333334%,0.2916666666666667%,YES,Mars,7,Applying,60,Neptune,Saturn
3,2018-11-07,10:05:00,0.6666666666666666%,0.3333333333333333%,YES,Ceres,4,Applying,60,Sun,Pluto
3,2018-11-07,10:05:00,0.6666666666666666%,0.3333333333333333%,YES,Venus,4,Applying,60,Sun,Pluto
3,2019-02-08,08:00:00,1%,0%,YES,Neptune,7,Seperating,60,Chiron,Pluto
2,2019-05-02,11:55:00,1%,0%,YES,Chiron,6,Applying,60,Venus,Mars
2,2019-05-04,11:40:00,0.375%,0.625%,YES,Uranus,4,Applying,60,Sun,Neptune
2,2019-05-04,11:40:00,0.375%,0.625%,YES,Mercury,4,Applying,60,Sun,Neptune
2,2019-06-04,13:00:00,1%,0%,YES,Sun,5,Applying,60,Mercury,Uranus
2,2019-06-05,15:40:00,0.75%,0.25%,YES,Mercury,8,Seperating,60,Mars,Uranus
2,2019-07-02,14:00:00,0%,1%,YES,Venus,4,Seperating,60,Sun,Uranus
