name_id,date,time,correct,displaced,bracketed,body_bracket,degree,degree_type,symbol,body,body1
1,2018-11-08,08:40:00,0.375%,0.625%,YES,Sun,1,Seperating,120,Jupiter,Chiron
4,2018-11-08,13:15:00,0.5%,0.5%,YES,Sun,1,Seperating,120,Jupiter,Chiron
4,2019-01-31,09:35:00,0%,1%,YES,Jupiter,3,Applying,120,Venus,Uranus
4,2019-04-05,09:42:00,1%,0%,YES,Chiron,0,Seperating,120,Sun,Ceres
1,2018-10-10,12:04:00,1%,0%,YES,Mercury,3,Seperating,120,Venus,Neptune
1,2018-10-10,12:04:00,1%,0%,YES,Mercury,3,Seperating,120,Venus,Neptune
3,2018-11-07,10:05:00,0.6666666666666666%,0.3333333333333333%,YES,Venus,0,Seperating,120,Sun,Neptune
3,2018-11-07,10:05:00,0.6666666666666666%,0.3333333333333333%,YES,Ceres,0,Seperating,120,Sun,Neptune
3,2019-01-31,09:00:00,0%,1%,YES,Jupiter,3,Applying,120,Venus,Uranus
3,2019-04-05,08:40:00,0.5833333333333334%,0.4166666666666667%,YES,Chiron,0,Seperating,120,Sun,Ceres
2,2019-05-03,11:55:00,0%,1%,YES,Venus,0,Seperating,120,Mercury,Jupiter
1,2019-05-03,10:35:00,0%,1%,YES,Venus,0,Seperating,120,Mercury,Jupiter
3,2019-05-03,08:45:00,0.4166666666666667%,0.5833333333333334%,YES,Venus,0,Applying,120,Mercury,Jupiter
3,2019-05-02,08:45:00,0.125%,0.875%,YES,Chiron,1,Applying,120,Venus,Jupiter
3,2019-05-02,08:45:00,0.125%,0.875%,YES,Chiron,1,Seperating,120,Venus,Ceres
3,2019-06-01,10:30:00,0.3%,0.7%,YES,Uranus,0,Seperating,120,Venus,Saturn
3,2019-06-01,10:30:00,0.3%,0.7%,YES,Uranus,2,Applying,120,Venus,Pluto
4,2019-05-03,11:15:00,0.16666666666666666%,0.8333333333333334%,YES,Venus,0,Seperating,120,Mercury,Jupiter
4,2019-06-01,12:25:00,0.8333333333333334%,0.16666666666666666%,YES,Uranus,0,Seperating,120,Venus,Saturn
4,2019-06-01,12:25:00,0.8333333333333334%,0.16666666666666666%,YES,Uranus,2,Applying,120,Venus,Pluto
4,2019-06-25,10:00:00,0.6666666666666666%,0.3333333333333333%,YES,Neptune,3,Seperating,120,Chiron,Ceres
4,2019-06-25,10:00:00,0.6666666666666666%,0.3333333333333333%,YES,Neptune,3,Applying,120,Chiron,Mercury
2,2019-08-09,11:35:00,0.7%,1.3%,YES,Ceres,1,Seperating,120,Jupiter,Sun
2,2019-08-09,11:35:00,0.7%,1.3%,YES,Ceres,0,Seperating,120,Moon,Venus
2,2019-08-30,10:10:00,0.875%,0.125%,YES,Mercury,0,Seperating,120,Sun,Uranus
2,2019-09-09,08:15:00,0.7083333333333334%,0.2916666666666667%,YES,Saturn,0,Applying,120,Pluto,Mercury
2,2019-09-09,08:15:00,0.7083333333333334%,0.2916666666666667%,YES,Saturn,2,Seperating,120,Pluto,Venus
3,2019-08-09,14:05:00,0.9%,0.1%,YES,Ceres,1,Seperating,120,Jupiter,Sun
3,2019-08-09,14:05:00,0.9%,0.1%,YES,Ceres,0,Seperating,120,Jupiter,Venus
3,2019-08-30,11:55:00,0%,1%,YES,Mercury,0,Seperating,120,Sun,Uranus
3,2019-09-09,08:15:00,1%,0%,YES,Saturn,0,Applying,120,Pluto,Mercury
3,2019-09-09,08:15:00,1%,0%,YES,Saturn,2,Seperating,120,Pluto,Venus
4,2019-08-09,11:35:00,1%,0%,YES,Ceres,0,Seperating,120,Jupiter,Venus
1,2019-08-09,14:05:00,0.3%,0.7%,YES,Ceres,1,Seperating,120,Jupiter,Sun
1,2019-08-09,14:05:00,0.3%,0.7%,YES,Ceres,0,Seperating,120,Jupiter,Venus
1,2019-08-30,11:55:00,1%,0%,YES,Mercury,0,Seperating,120,Sun,Chiron
3,2019-11-25,08:45:00,1%,0%,YES,Mars,2,Applying,120,Mercury,Neptune
4,2019-11-25,09:05:00,0.5%,0.5%,YES,Mars,2,Applying,120,Mercury,Neptune
1,2019-11-25,09:05:00,1%,0%,YES,Mars,2,Applying,120,Mercury,Neptune
3,2020-04-16,08:25:00,1%,0%,YES,Saturn,1,Applying,120,Mars,Venus
1,2020-04-16,08:25:00,0.625%,0.375%,YES,Saturn,1,Applying,120,Mars,Venus
2,2020-04-16,08:25:00,1%,0%,YES,Saturn,1,Applying,120,Mars,Venus
4,2020-04-16,08:25:00,0.5%,0.5%,YES,Saturn,1,Applying,120,Mars,Venus
