name_id,date,time,correct,displaced,bracketed,body_bracket,degree,degree_type,symbol,body,body1
1,2018-10-11,10:38:00,0.5%,0.5%,YES,Venus,5,Applying,120,Jupiter,Chiron
4,2019-02-08,08:56:00,0%,1%,YES,Neptune,4,Seperating,120,Chiron,Ceres
4,2019-04-06,10:16:00,0.5%,0.5%,YES,Sun,7,Applying,120,Uranus,Jupiter
2,2018-10-09,13:17:00,0%,1%,YES,Ceres,6,Seperating,120,Sun,Mars
2,2018-10-09,13:17:00,0%,1%,YES,Sun,6,Seperating,120,Sun,Mars
2,2019-10-11,11:58:00,1%,0%,YES,Venus,5,Applying,120,Jupiter,Chiron
3,2019-01-31,09:00:00,0%,1%,YES,Jupiter,5,Seperating,120,Venus,Mars
3,2019-02-08,08:00:00,1%,0%,YES,Neptune,4,Seperating,120,Chiron,Ceres
3,2019-02-27,08:50:00,0.7%,0.3%,YES,Ceres,8,Applying,120,Jupiter,Uranus
3,2019-04-06,09:22:00,0%,1%,YES,Sun,7,Seperating,120,Uranus,Jupiter
2,2019-04-23,10:20:00,0%,1%,YES,Ceres,8,Seperating,120,Jupiter,Sun
2,2019-04-23,10:20:00,0%,1%,YES,Ceres,8,Seperating,120,Jupiter,Uranus
2,2019-05-02,11:55:00,1%,0%,YES,Chiron,9,Applying,120,Venus,Jupiter
2,2019-05-04,11:40:00,0.375%,0.625%,YES,Mercury,7,Applying,120,Sun,Saturn
2,2019-05-04,11:40:00,0.375%,0.625%,YES,Uranus,7,Applying,120,Sun,Saturn
2,2019-05-04,11:40:00,0.375%,0.625%,YES,Mercury,9,Applying,120,Sun,Pluto
2,2019-05-04,11:40:00,0.375%,0.625%,YES,Uranus,9,Applying,120,Sun,Pluto
2,2019-06-05,15:40:00,0.75%,0.25%,YES,Mercury,5,Applying,120,Mars,Neptune
2,2019-07-02,14:00:00,0%,1%,YES,Venus,8,Applying,120,Sun,Neptune
1,2019-05-02,10:35:00,0.3333333333333333%,0.6666666666666666%,YES,Chiron,9,Applying,120,Venus,Jupiter
1,2019-06-05,14:00:00,0.6666666666666666%,0.3333333333333333%,YES,Mercury,5,Applying,120,Mars,Neptune
1,2019-07-02,12:00:00,0.8125%,0.1875%,YES,Venus,8,Applying,120,Sun,Neptune
3,2019-04-23,08:30:00,0%,1%,YES,Ceres,8,Seperating,120,Jupiter,Sun
3,2019-04-23,08:30:00,0%,1%,YES,Ceres,8,Seperating,120,Jupiter,Uranus
3,2019-05-01,09:36:00,1%,0%,YES,Neptune,8,Applying,120,Chiron,Ceres
3,2019-05-04,08:25:00,1%,0%,YES,Uranus,7,Applying,120,Sun,Saturn
3,2019-05-04,08:25:00,1%,0%,YES,Uranus,9,Applying,120,Sun,Pluto
3,2019-06-05,14:00:00,0.8333333333333334%,0.16666666666666666%,YES,Mercury,5,Applying,120,Mars,Neptune
3,2019-07-02,12:00:00,0%,1%,YES,Venus,8,Applying,120,Sun,Neptune
4,2019-04-23,09:25:00,0.75%,0.25%,YES,Ceres,8,Seperating,120,Jupiter,Sun
4,2019-04-23,09:25:00,0.75%,0.25%,YES,Ceres,8,Seperating,120,Jupiter,Uranus
4,2019-05-02,10:00:00,0.25%,0.75%,YES,Chiron,9,Applying,120,Venus,Jupiter
4,2019-05-01,10:10:00,0%,1%,YES,Neptune,8,Applying,120,Chiron,Ceres
4,2019-06-05,15:40:00,0.875%,0.125%,YES,Mercury,5,Applying,120,Mars,Neptune
