name_id,date,time,correct,displaced,degree,degree_type,symbol,body,body1
1,2018-11-15,08:25:00,0.625%,0.375%,1,Applying,90,Mars,Jupiter
1,2018-11-16,08:25:00,0.3333333333333333%,0.6666666666666666%,1,Applying,90,Mars,Jupiter
4,2018-10-16,11:40:00,0.5%,0.5%,0,Applying,90,Pluto,Ceres
4,2018-10-16,11:40:00,0.5%,0.5%,3,Seperating,90,Pluto,Sun
4,2019-02-07,10:05:00,0.5%,0.5%,3,Seperating,90,Neptune,Jupiter
4,2019-02-26,09:39:00,1%,0%,1,Applying,90,Ceres,Sun
2,2018-10-16,12:29:00,0.75%,0.25%,0,Applying,90,Pluto,Ceres
2,2018-11-15,10:30:00,0.5833333333333334%,0.4166666666666667%,1,Applying,90,Mars,Saturn
3,2018-10-18,11:20:00,1%,0%,1,Applying,90,Mars,Mercury
3,2018-11-15,13:40:00,0.6428571428571429%,0.35714285714285715%,1,Applying,90,Mars,Jupiter
3,2019-01-03,08:35:00,0%,1%,1,Applying,90,Jupiter,Neptune
3,2019-01-04,09:00:00,0.5%,0.5%,3,Applying,90,Mercury,Mars
3,2019-01-04,09:00:00,0.5%,0.5%,0,Seperating,90,Mercury,Chiron
3,2019-02-02,08:55:00,0.4375%,0.5625%,0,Applying,90,Saturn,Pluto
3,2019-02-07,08:15:00,0.5%,0.5%,3,Applying,90,Neptune,Jupiter
3,2019-02-26,09:10:00,0.75%,0.25%,1,Applying,90,Ceres,Sun
3,2019-04-03,08:35:00,0.9375%,0.0625%,3,Seperating,90,Mercury,Ceres
2,2019-04-30,10:35:00,1%,0%,1,Seperating,90,Neptune,Mars
2,2019-06-25,10:00:00,0%,1%,2,Applying,90,Chiron,Sun
2,2019-07-04,11:35:00,1%,0%,2,Applying,90,Mercury,Uranus
1,2019-06-25,09:15:00,0.25%,1.75%,2,Applying,90,Chiron,Sun
1,2019-06-24,09:00:00,0.3%,0.7%,0,Seperating,90,Neptune,Jupiter
1,2019-06-24,09:00:00,0.3%,0.7%,0,Applying,90,Neptune,Venus
1,2019-07-04,10:10:00,1%,0%,2,Applying,90,Mercury,Uranus
3,2019-04-30,08:37:00,0.875%,0.125%,1,Seperating,90,Neptune,Mars
4,2019-04-30,10:05:00,0.16666666666666666%,0.8333333333333334%,1,Seperating,90,Neptune,Mars
3,2019-06-24,09:00:00,1%,0%,0,Applying,90,Neptune,Jupiter
3,2019-06-24,09:00:00,1%,0%,0,Seperating,90,Neptune,Venus
3,2019-06-25,09:15:00,1%,0%,2,Applying,90,Chiron,Sun
3,2019-07-04,10:10:00,0%,1%,2,Applying,90,Mercury,Uranus
4,2019-06-24,09:25:00,0.25%,0.75%,0,Seperating,90,Neptune,Jupiter
4,2019-06-24,09:25:00,0.25%,0.75%,0,Applying,90,Neptune,Venus
4,2019-07-04,11:25:00,0.5%,0.5%,2,Applying,90,Mercury,Uranus
2,2019-09-13,14:30:00,0.4166666666666667%,0.5833333333333334%,1,Applying,90,Neptune,Jupiter
2,2019-10-03,11:25:00,0.125%,0.875%,1,Seperating,90,Jupiter,Neptune
2,2019-10-03,11:25:00,0.125%,0.875%,2,Applying,90,Ceres,Neptune
2,2019-10-05,13:07:00,0.4166666666666667%,0.4166666666666667%,2,Applying,90,Saturn,Sun
2,2019-10-10,16:10:00,0.5833333333333334%,0.4166666666666667%,3,Seperating,90,Neptune,Jupiter
2,2019-10-26,10:30:00,0.75%,0.25%,0,Applying,90,Mars,Saturn
3,2019-08-17,13:30:00,1%,0%,3,Applying,90,Neptune,Jupiter
3,2019-08-17,13:30:00,1%,0%,0,Applying,90,Moon,Jupiter
3,2019-09-13,14:30:00,1%,0%,1,Applying,90,Neptune,Jupiter
3,2019-10-03,11:25:00,0.625%,0.375%,2,Applying,90,Ceres,Neptune
3,2019-10-05,13:07:00,1%,0%,2,Applying,90,Saturn,Sun
3,2019-10-10,16:10:00,0.5%,0.5%,3,Seperating,90,Neptune,Jupiter
3,2019-10-10,16:10:00,0.5%,0.5%,0,Applying,90,Neptune,Ceres
3,2019-10-26,10:30:00,1%,0%,0,Applying,90,Mars,Saturn
4,2019-08-17,09:20:00,1%,0%,3,Applying,90,Neptune,Jupiter
4,2019-09-13,15:00:00,0.5%,0.5%,1,Applying,90,Neptune,Jupiter
4,2019-10-03,16:20:00,0.75%,0.25%,1,Seperating,90,Jupiter,Neptune
4,2019-10-03,16:20:00,0.75%,0.25%,1,Applying,90,Ceres,Neptune
4,2019-10-05,12:45:00,1%,0%,2,Applying,90,Saturn,Sun
1,2019-08-17,09:20:00,0.875%,0.125%,3,Applying,90,Neptune,Jupiter
1,2019-09-13,15:00:00,0.8333333333333334%,0.16666666666666666%,1,Applying,90,Neptune,Jupiter
1,2019-10-03,16:20:00,1%,0%,1,Seperating,90,Jupiter,Neptune
1,2019-10-05,12:45:00,0.75%,0.25%,2,Applying,90,Saturn,Sun
1,2019-10-10,15:55:00,0.125%,0.875%,3,Seperating,90,Neptune,Jupiter
1,2019-10-26,10:10:00,0.6428571428571429%,0.35714285714285715%,0,Applying,90,Mars,Saturn
2,2019-11-28,13:05:00,1%,0%,3,Applying,90,Moon,Chiron
2,2019-11-28,14:40:00,0%,1%,3,Applying,90,Moon,Chiron
2,2019-11-28,13:05:00,1%,0%,2,Applying,90,Jupiter,Chiron
2,2019-11-28,14:40:00,0%,1%,2,Applying,90,Jupiter,Chiron
2,2020-01-22,10:40:00,0.6875%,0.3125%,2,Applying,90,Moon,Chiron
2,2020-02-01,11:11:00,0.4166666666666667%,0.5833333333333334%,2,Applying,90,Uranus,Ceres
3,2019-11-28,14:40:00,0.75%,0.25%,2,Applying,90,Jupiter,Chiron
3,2019-11-28,14:40:00,0.75%,0.25%,1,Seperating,90,Venus,Chiron
3,2020-01-20,08:15:00,1%,0%,3,Applying,0,Mars,Venus
4,2020-01-20,20:25:00,0.5%,0.5%,3,Applying,90,Mars,Venus
4,2020-02-01,11:30:00,0.625%,0.375%,2,Applying,90,Uranus,Ceres
1,2019-11-28,14:15:00,1%,0%,2,Applying,90,Jupiter,Chiron
1,2020-01-20,08:25:00,1%,0%,3,Applying,90,Mars,Venus
1,2020-02-01,11:30:00,0.4%,0.6%,2,Applying,90,Uranus,Ceres
3,2020-03-20,09:20:00,1%,0%,2,Applying,90,Ceres,Venus
1,2020-03-20,09:20:00,1%,0%,2,Applying,90,Ceres,Venus
2,2020-03-20,09:00:00,1%,0%,2,Applying,90,Ceres,Venus
4,2020-03-20,09:00:00,0.5%,0.5%,2,Applying,90,Ceres,Venus
1,2020-03-28,14:55:00,1%,0%,2,Seperating,90,Venus,Ceres
3,2020-03-28,14:55:00,1%,0%,2,Seperating,90,Venus,Ceres
2,2020-03-28,14:55:00,1%,0%,2,Seperating,90,Venus,Ceres
4,2020-03-28,14:55:00,0.5%,0.5%,2,Seperating,90,Venus,Ceres
1,2020-04-14,11:25:00,0%,1%,1,Applying,90,Pluto,Sun
1,2020-04-14,11:25:00,0%,1%,0,Applying,90,Jupiter,Sun
3,2020-04-14,11:25:00,0%,1%,1,Applying,90,Pluto,Sun
3,2020-04-14,11:25:00,0%,1%,0,Applying,90,Jupiter,Sun
4,2020-04-14,11:25:00,0.5%,0.5%,0,Applying,90,Pluto,Sun
