name_id,date,time,correct,displaced,degree,degree_type,symbol,body,body1
1,2018-10-15,08:50:00,1%,0%,4,Seperating,90,Saturn,Chiron
1,2018-11-06,08:45:00,0.8333333333333334%,0.16666666666666666%,8,Applying,90,Venus,Pluto
1,2018-11-15,08:25:00,0.625%,0.375%,6,Applying,90,Mars,Sun
1,2018-11-16,08:25:00,0.3333333333333333%,0.6666666666666666%,6,Applying,90,Mars,Sun
1,2019-04-01,09:43:00,1%,0%,5,Seperating,90,Venus,Mars
1,2019-04-01,09:43:00,1%,0%,7,Applying,90,Venus,Ceres
4,2018-10-10,09:44:00,1%,0%,9,Applying,90,Mercury,Mars
4,2019-02-02,09:25:00,1%,0%,6,Seperating,90,Saturn,Mars
4,2019-02-26,09:39:00,1%,0%,6,Applying,90,Ceres,Neptune
4,2019-04-02,09:44:00,0.5%,0.5%,6,Seperating,90,Venus,Mars
4,2019-04-02,09:44:00,0.5%,0.5%,6,Applying,90,Venus,Ceres
2,2018-10-22,08:12:00,0.14285714285714285%,0.8571428571428571%,5,Seperating,90,Chiron,Saturn
2,2018-10-16,12:29:00,0.75%,0.25%,4,Seperating,90,Pluto,Sun
2,2018-11-15,10:30:00,0.5833333333333334%,0.4166666666666667%,6,Applying,90,Mars,Sun
2,2019-02-02,12:15:00,0.625%,0.375%,6,Applying,90,Saturn,Mars
2,2019-03-06,12:02:00,0.5%,0.5%,7,Applying,90,Sun,Jupiter
2,2019-04-02,11:47:00,0.9375%,0.0625%,6,Seperating,90,Venus,Mars
2,2019-04-02,11:47:00,0.9375%,0.0625%,6,Applying,90,Venus,Ceres
2,2019-04-01,10:51:00,0.25%,0.75%,5,Seperating,90,Venus,Mars
2,2019-04-01,10:51:00,0.25%,0.75%,7,Applying,90,Venus,Ceres
2,2019-04-04,11:38:00,0%,1%,8,Seperating,90,Chiron,Jupiter
2,2019-04-05,11:50:00,0.9166666666666666%,0.08333333333333333%,4,Applying,90,Sun,Saturn
2,2019-04-05,11:50:00,0.9166666666666666%,0.08333333333333333%,7,Applying,90,Sun,Pluto
2,2019-04-06,12:07:00,0.16666666666666666%,0.8333333333333334%,7,Seperating,90,Uranus,Pluto
3,2018-10-18,11:20:00,1%,0%,5,Seperating,90,Mars,Venus
3,2018-11-06,09:46:00,0.875%,0.25%,8,Applying,90,Venus,Pluto
3,2018-11-06,09:46:00,0.875%,0.25%,8,Seperating,90,Ceres,Pluto
3,2018-11-15,13:40:00,0.6428571428571429%,0.35714285714285715%,6,Applying,90,Mars,Sun
3,2019-02-02,08:55:00,0.4375%,0.5625%,6,Seperating,90,Saturn,Mars
3,2019-02-07,08:15:00,0.5%,0.5%,10,Applying,90,Neptune,Chiron
3,2019-02-26,09:10:00,0.75%,0.25%,6,Applying,90,Ceres,Neptune
3,2019-04-02,09:02:00,0.5%,0.5%,6,Seperating,90,Venus,Mars
3,2019-04-02,09:02:00,0.5%,0.5%,6,Applying,90,Venus,Ceres
3,2019-04-03,08:35:00,0.9375%,0.0625%,6,Applying,90,Mercury,Jupiter
3,2019-04-09,08:45:00,0.125%,0.875%,10,Applying,90,Mars,Neptune
2,2019-04-22,10:15:00,1%,0%,4,Seperating,90,Ceres,Neptune
2,2019-04-25,10:30:00,0%,1%,9,Applying,90,Saturn,Mercury
2,2019-04-25,10:30:00,0%,1%,4,Seperating,90,Moon,Mercury
2,2019-04-30,10:35:00,1%,0%,5,Applying,90,Neptune,Jupiter
2,2019-04-30,10:35:00,1%,0%,5,Seperating,90,Neptune,Ceres
2,2019-05-07,17:15:00,0.375%,0.625%,6,Seperating,90,Mars,Neptune
2,2019-05-07,17:15:00,0.375%,0.625%,9,Applying,90,Mars,Chiron
2,2019-06-27,12:00:00,0.3125%,0.6875%,5,Applying,90,Uranus,Mercury
2,2019-06-27,12:00:00,0.3125%,0.6875%,8,Applying,90,Uranus,Mars
2,2019-07-01,14:05:00,0.9375%,0.0625%,8,Seperating,90,Venus,Neptune
