name_id,date,time,correct,displaced,degree,degree_type,symbol,body1,body2
1,2018-11-06,08:45:00,0.8333333333333334%,0.16666666666666666%,2,Seperating,180,Venus,Uranus
4,2018-10-10,09:44:00,1%,0%,0,Applying,180,Mercury,Uranus
2,2018-10-24,08:45:00,0.1875%,0.8125%,0,Seperating,180,Uranus,Sun
3,2018-10-24,09:36:00,0.1%,0.9%,0,Seperating,180,Uranus,Sun
3,2018-11-06,09:46:00,0.875%,0.25%,2,Seperating,180,Venus,Uranus
3,2018-11-20,12:00:00,0.8214285714285714%,0.17857142857142858%,3,Applying,180,Uranus,Venus
2,2019-04-22,10:15:00,1%,0%,0,Applying,180,Ceres,Mars
2,2019-05-07,17:15:00,0.375%,0.625%,1,Seperating,180,Mars,Jupiter
1,2019-05-07,10:15:00,1%,0%,0,Seperating,180,Mars,Jupiter
3,2019-04-22,08:45:00,0.125%,0.875%,0,Seperating,180,Ceres,Mars
4,2019-09-13,15:00:00,0.5%,0.5%,0,Applying,180,Neptune,Mars
4,2019-09-13,15:00:00,0.5%,0.5%,3,Seperating,180,Neptune,Sun
3,2019-05-07,09:40:00,1%,0%,0,Seperating,180,Mars,Jupiter
4,2019-04-22,09:25:00,0.6666666666666666%,0.3333333333333333%,0,Seperating,180,Ceres,Mars
4,2019-05-07,11:50:00,1%,0%,0,Seperating,180,Mars,Jupiter
4,2019-05-07,11:50:00,1%,0%,2,Seperating,180,Moon,Ceres
4,2019-06-03,09:30:00,0.8333333333333334%,0.16666666666666666%,2,Seperating,180,Sun,Ceres
2,2019-10-28,08:30:00,0.7083333333333334%,0.2916666666666667%,0,Applying,180,Sun,Uranus
2,2019-09-13,14:30:00,0.4166666666666667%,0.5833333333333334%,3,Applying,180,Neptune,Sun
3,2019-09-13,14:30:00,1%,0%,3,Seperating,180,Neptune,Sun
3,2019-09-13,14:30:00,1%,0%,0,Applying,180,Neptune,Mars
3,2019-10-15,08:15:00,0.6875%,0.3125%,2,Seperating,180,Uranus,Venus
3,2019-10-28,08:30:00,1%,0%,0,Applying,180,Sun,Uranus
1,2019-09-13,15:00:00,0.8333333333333334%,0.16666666666666666%,0,Applying,180,Neptune,Mars
1,2019-09-13,15:00:00,0.8333333333333334%,0.16666666666666666%,2,Seperating,180,Neptune,Sun
1,2019-09-28,09:45:00,0.375%,0.625%,1,Seperating,180,Sun,Chiron
1,2019-10-15,08:15:00,1%,0%,2,Seperating,180,Uranus,Venus
1,2019-10-28,08:15:00,0.42857142857142855%,0.5714285714285714%,1,Applying,180,Sun,Uranus
1,2019-10-28,08:15:00,0.42857142857142855%,0.5714285714285714%,0,Applying,180,Moon,Uranus
1,2020-07-20,12:05:00,1%,0%,0,Applying,180,Sun,Saturn
2,2020-07-20,12:05:00,0.6666666666666666%,0.3333333333333333%,0,Applying,180,Sun,Saturn
3,2020-07-20,12:05:00,1%,0%,0,Applying,180,Sun,Saturn
4,2020-07-20,12:05:00,1%,0%,0,Applying,180,Sun,Saturn
