name_id,date,time,correct,displaced,degree,degree_type,symbol,body,body1
1,2018-11-15,08:25:00,0.625%,0.375%,0,Applying,60,Mars,Uranus
1,2018-11-16,08:25:00,0.3333333333333333%,0.6666666666666666%,0,Seperating,60,Mars,Uranus
4,2018-10-10,09:44:00,1%,0%,3,Applying,60,Mercury,Saturn
4,2019-02-02,09:25:00,1%,0%,0,Seperating,60,Saturn,Neptune
4,2019-02-07,10:05:00,0.5%,0.5%,0,Seperating,60,Neptune,Saturn
4,2019-03-29,09:45:00,1%,0%,3,Applying,60,Saturn,Venus
4,2019-03-29,09:45:00,1%,0%,2,Seperating,60,Saturn,Neptune
4,2019-04-09,09:08:00,0%,1%,2,Seperating,60,Mars,Chiron
2,2018-11-15,10:30:00,0.5833333333333334%,0.4166666666666667%,0,Applying,60,Mars,Uranus
2,2019-02-02,12:15:00,0.625%,0.375%,0,Seperating,60,Saturn,Uranus
2,2019-03-06,12:02:00,0.5%,0.5%,2,Seperating,60,Sun,Mars
2,2019-03-06,12:02:00,0.5%,0.5%,2,Applying,60,Sun,Saturn
2,2019-04-04,11:38:00,0%,1%,0,Seperating,60,Chiron,Mars
2,2018-04-09,10:15:00,0%,1%,3,Applying,60,Mars,Chiron
3,2018-11-15,13:40:00,0.6428571428571429%,0.35714285714285715%,0,Applying,60,Mars,Uranus
3,2018-11-16,09:54:00,1%,0%,1,Applying,60,Mars,Jupiter
3,2018-11-20,12:00:00,0.8214285714285714%,0.17857142857142858%,3,Seperating,60,Uranus,Mars
3,2019-02-02,08:55:00,0.4375%,0.5625%,0,Seperating,60,Saturn,Neptune
3,2019-02-07,08:15:00,0.5%,0.5%,0,Seperating,60,Neptune,Saturn
3,2019-04-03,08:35:00,0.9375%,0.0625%,2,Applying,60,Mercury,Saturn
3,2019-04-09,08:45:00,0.125%,0.875%,2,Seperating,60,Mars,Chiron
2,2019-04-25,10:30:00,0%,1%,2,Applying,60,Saturn,Neptune
2,2019-04-30,10:35:00,1%,0%,2,Applying,60,Neptune,Saturn
2,2019-06-27,12:00:00,0.3125%,0.6875%,0,Applying,60,Uranus,Sun
1,2019-06-24,09:00:00,0.3%,0.7%,0,Seperating,60,Neptune,Saturn
1,2019-06-27,14:20:00,0.4375%,0.5625%,0,Applying,60,Uranus,Sun
3,2019-04-25,09:00:00,0.5%,0.5%,2,Applying,60,Saturn,Neptune
3,2019-04-30,08:37:00,0.875%,0.125%,2,Applying,60,Neptune,Saturn
3,2019-06-24,09:00:00,1%,0%,0,Seperating,60,Neptune,Saturn
3,2019-06-24,09:00:00,1%,0%,3,Applying,60,Neptune,Pluto
3,2019-06-27,14:20:00,0%,1%,0,Applying,60,Uranus,Sun
