name_id,date,time,correct,displaced,degree,degree_type,symbol,body,body1
1,2018-10-15,08:50:00,1%,0%,2,Seperating,120,Saturn,Uranus
1,2018-11-06,08:45:00,0.8333333333333334%,0.16666666666666666%,3,Applying,120,Venus,Mars
1,2018-11-15,08:25:00,0.625%,0.375%,1,Applying,120,Mars,Ceres
1,2018-11-16,08:25:00,0.3333333333333333%,0.6666666666666666%,1,Applying,120,Mars,Ceres
4,2018-11-07,11:59:00,0.25%,0.75%,0,Seperating,120,Sun,Neptune
4,2018-10-15,11:36:00,0.75%,0.25%,2,Seperating,120,Saturn,Uranus
2,2018-10-22,08:12:00,0.14285714285714285%,0.8571428571428571%,2,Applying,120,Chiron,Jupiter
2,2018-10-20,08:22:00,0.4166666666666667%,0.5833333333333334%,1,Seperating,120,Neptune,Mercury
2,2018-10-24,08:45:00,0.1875%,0.8125%,3,Applying,120,Uranus,Saturn
2,2018-11-15,10:30:00,0.5833333333333334%,0.4166666666666667%,1,Applying,120,Mars,Ceres
2,2019-04-05,11:50:00,0.9166666666666666%,0.08333333333333333%,0,Seperating,120,Sun,Ceres
3,2018-10-24,09:36:00,0.1%,0.9%,3,Seperating,120,Uranus,Saturn
3,2018-11-15,13:40:00,0.6428571428571429%,0.35714285714285715%,1,Applying,120,Mars,Ceres
3,2018-11-16,09:54:00,1%,0%,1,Applying,120,Mars,Ceres
3,2019-01-04,09:00:00,0.5%,0.5%,0,Seperating,120,Mercury,Uranus
2,2019-07-04,11:35:00,1%,0%,0,Applying,120,Mars,Ceres
1,2019-07-04,10:10:00,1%,0%,0,Seperating,120,Mercury,Ceres
3,2019-07-04,10:10:00,0%,1%,0,Seperating,120,Mars,Ceres
4,2019-06-24,09:25:00,0.25%,0.75%,3,Seperating,120,Neptune,Mercury
4,2019-07-04,11:25:00,0.5%,0.5%,1,Applying,120,Mercury,Chiron
4,2019-07-04,11:25:00,0.5%,0.5%,2,Seperating,120,Mercury,Ceres
2,2019-11-26,11:40:00,0.7857142857142857%,0.21428571428571427%,2,Seperating,120,Sun,Chiron
2,2019-12-08,14:40:00,0.4166666666666667%,0.5833333333333334%,1,Applying,120,Uranus,Jupiter
2,2019-01-02,12:50:00,0.6666666666666666%,0.3333333333333333%,2,Applying,120,Chiron,Mars
3,2019-11-26,11:40:00,1%,0%,1,Seperating,120,Sun,Chiron
3,2019-12-08,14:40:00,1%,0%,1,Applying,120,Uranus,Jupiter
3,2020-01-02,12:50:00,1%,0%,2,Applying,120,Chiron,Mars
4,2019-11-26,11:25:00,1%,0%,2,Seperating,120,Sun,Chiron
4,2019-12-08,14:50:00,0.25%,0.75%,1,Applying,120,Uranus,Jupiter
4,2020-01-02,12:35:00,0%,1%,2,Applying,120,Chiron,Mars
1,2019-11-26,11:25:00,0.625%,0.375%,2,Applying,120,Sun,Chiron
1,2020-01-02,12:35:00,0.7142857142857143%,0.2857142857142857%,2,Applying,120,Chiron,Mars
1,2020-03-28,14:55:00,1%,0%,0,Seperating,120,Venus,Jupiter
1,2020-03-28,14:55:00,1%,0%,0,Applying,120,Venus,Pluto
3,2020-03-28,14:55:00,1%,0%,0,Seperating,120,Venus,Jupiter
3,2020-03-28,14:55:00,1%,0%,0,Applying,120,Venus,Pluto
2,2020-03-28,14:55:00,1%,0%,0,Seperating,120,Venus,Jupiter
2,2020-03-28,14:55:00,1%,0%,0,Applying,120,Venus,Pluto
4,2020-03-28,14:55:00,0.5%,0.5%,0,Seperating,120,Venus,Jupiter
4,2020-03-28,14:55:00,0.5%,0.5%,0,Applying,120,Venus,Pluto
1,2020-04-26,14:40:00,0.6666666666666666%,0.3333333333333333%,1,Seperating,120,Venus,Mars
2,2020-04-26,14:40:00,0%,1%,1,Seperating,120,Venus,Mars
4,2020-04-26,14:40:00,0.75%,0.25%,1,Seperating,120,Venus,Mars
3,2020-04-26,14:40:00,1%,0%,1,Seperating,120,Venus,Mars
3,2020-05-12,09:45:00,1%,0%,3,Seperating,120,Jupiter,Mercury
1,2020-05-12,09:45:00,0.08333333333333333%,0.9166666666666666%,3,Seperating,120,Jupiter,Mercury
2,2020-05-12,09:45:00,0.8333333333333334%,0.16666666666666666%,3,Applying,120,Jupiter,Mercury
4,2020-05-12,09:45:00,0.25%,0.75%,3,Applying,120,Jupiter,Mercury
3,2020-05-22,09:25:00,1%,0%,0,Applying,120,Sun,Saturn
4,2020-05-22,09:25:00,1%,0%,0,Applying,120,Sun,Saturn
2,2020-05-22,09:25:00,0.8333333333333334%,0.16666666666666666%,0,Applying,120,Sun,Saturn
1,2020-05-22,09:25:00,0.8333333333333334%,0.16666666666666666%,0,Applying,120,Sun,Saturn
2,2020-06-12,11:00:00,0.75%,0.25%,2,Seperating,120,Ceres,Moon
4,2020-06-12,11:00:00,0.875%,0.125%,2,Seperating,120,Ceres,Mercury
3,2020-06-12,11:00:00,1%,0%,2,Seperating,120,Ceres,Mercury
1,2020-06-12,11:00:00,0.9166666666666666%,0.08333333333333333%,2,Seperating,120,Ceres,Mercury
1,2020-07-20,12:05:00,1%,0%,0,Applying,120,Sun,Sun
