time,mercury,venus,mars,jupiter,saturn,uranus,neptune,pluto,ceres
A.D. 2018-Jan-01 12:20:00.0000 UTC,1.0092632847898995,1.7093529402093528,1.951232437017896,5.951313858883979,11.03288213654978,19.649541232494816,30.410843069995003,34.449925453361416,1.719578713776332
A.D. 2018-Jan-02 12:20:00.0000 UTC,1.0294173832462445,1.7097020605380775,1.9424518072695967,5.938002669077681,11.029936315306747,19.6662869077806,30.425929102458298,34.45276287603434,1.711863669562668
A.D. 2018-Jan-03 12:20:00.0000 UTC,1.049066376882266,1.7100134175118586,1.9336388370291744,5.924556305994962,11.026734253941655,19.683097942421206,30.44086706816413,34.455310093083206,1.704364539569824
A.D. 2018-Jan-04 12:20:00.0000 UTC,1.0681857976528601,1.7102869336382078,1.9247937140993634,5.910976954075267,11.023276451950961,19.699969518609876,30.455652935410537,34.45756648540433,1.697085039968691
A.D. 2018-Jan-05 12:20:00.0000 UTC,1.0867580491651099,1.7105224359012883,1.91591662541973,5.897266830986528,11.019563363553905,19.716896766111475,30.470282598207408,34.45953138809001,1.6900289649189086
A.D. 2018-Jan-06 12:20:00.0000 UTC,1.1047711647029896,1.7107196871181038,1.9070077980856375,5.883428234134537,11.01559544183618,19.733874725515072,30.484751871270817,34.461204126821094,1.683200164866695
A.D. 2018-Jan-07 12:20:00.0000 UTC,1.1222177595131713,1.710878418343895,1.8980675257922788,5.869463571852006,11.011373181755083,19.75089833172516,30.499056504826015,34.462584059536226,1.6766025098629729
A.D. 2018-Jan-08 12:20:00.0000 UTC,1.1390941454903765,1.7109983548560819,1.8890961798573165,5.855375377795287,11.006897153431634,19.767962414889002,30.51319220992703,34.463670613043476,1.6702398489209886
A.D. 2018-Jan-09 12:20:00.0000 UTC,1.1553995834751862,1.7110792330175508,1.8800942088375805,5.841166312531682,11.002168023327709,19.785061712009732,30.527154685592755,34.464463309748126,1.6641159732131383
A.D. 2018-Jan-10 12:20:00.0000 UTC,1.1711356537655686,1.7111208090109054,1.8710621320605887,5.826839157942091,10.997186565247189,19.80219088269544,30.54093964251627,34.46496178450343,1.6582345863195471
A.D. 2018-Jan-11 12:20:00.0000 UTC,1.1863057286348448,1.7111228620472643,1.8620005313434143,5.812396809082979,10.99195366471592,19.819344524729104,30.55454282159708,34.465165794088,1.6525992813280799
A.D. 2018-Jan-12 12:20:00.0000 UTC,1.2009145324750155,1.7110851947034451,1.852910043400964,5.797842266295169,10.986470320039325,19.836517187519174,30.567960007779877,34.465075222298665,1.647213522992641
A.D. 2018-Jan-13 12:20:00.0000 UTC,1.2149677764990803,1.7110076323825634,1.8437913539169393,5.783178628690511,10.980737642320657,19.853703383168575,30.58118704063611,34.464690083072405,1.6420806328804325
A.D. 2018-Jan-14 12:20:00.0000 UTC,1.2284718561735612,1.7108900231039057,1.834645193247883,5.76840908903637,10.974756855645968,19.870897595800415,30.594219823237825,34.464010523157945,1.6372037758360536
A.D. 2018-Jan-15 12:20:00.0000 UTC,1.2414336008214524,1.7107322381573506,1.8254723332004945,5.75353692946056,10.968529297784714,19.888094290102806,30.607054330563308,34.46303682502143,1.6325859467526538
A.D. 2018-Jan-16 12:20:00.0000 UTC,1.2538600661112702,1.710534173664485,1.8162735841340143,5.7385655171853545,10.962056421176117,19.905287920011048,30.619686618198845,34.46176941002276,1.6282299572293226
A.D. 2018-Jan-17 12:20:00.0000 UTC,1.265758361399612,1.7102957527785712,1.8070497916874138,5.723498299555348,10.955339793664571,19.92247293818847,30.63211283161287,34.46020884148464,1.6241384222624975
A.D. 2018-Jan-18 12:20:00.0000 UTC,1.2771355050982587,1.7100169281139652,1.797801832629674,5.7083387978512095,10.948381098378773,19.93964380661378,30.64432921587202,34.45835582709291,1.620313747407843
A.D. 2018-Jan-19 12:20:00.0000 UTC,1.2879983023809776,1.7096976840127474,1.788530609597969,5.693090599682029,10.941182132272454,19.956795008244026,30.65633212541863,34.45621122009822,1.6167581170159997
A.D. 2018-Jan-20 12:20:00.0000 UTC,1.2983532405980018,1.70933803839761,1.7792370447262862,5.677757350010209,10.933744803075836,19.973921059502832,30.668118033479313,34.453776018974885,1.6134734840443157
A.D. 2018-Jan-21 12:20:00.0000 UTC,1.3082063986623629,1.7089380441468098,1.7699220722769635,5.662342740978209,10.92607112461806,19.991016523313313,30.679683540799697,34.451051365413285,1.6104615617536318
A.D. 2018-Jan-22 12:20:00.0000 UTC,1.317563367340428,1.708497790058783,1.7605866303084676,5.646850500618032,10.918163210546236,20.008076022554054,30.69102538360859,34.44803854064156,1.6077238174233586
A.D. 2018-Jan-23 12:20:00.0000 UTC,1.3264291777544428,1.7080174014372795,1.751231651148747,5.631284380256252,10.910023266292974,20.02509425407296,30.70214044084606,34.44473895996229,1.6052614682013342
A.D. 2018-Jan-24 12:20:00.0000 UTC,1.3348082354633917,1.7074970400340723,1.7418580500879624,5.61564814010586,10.90165357872387,20.042066003567026,30.713025740559527,34.44115416499047,1.6030754795070954
