time,mercury,venus,mars,jupiter,saturn,uranus,neptune,pluto,ceres
A.D. 2018-Jan-01 12:20:00.0000 UTC,258.2088919238485,278.92709928496936,224.24217580075555,226.77664790278533,271.2076725037409,24.321143929942878,341.669961393859,288.55379466481486,136.14242505808997
A.D. 2018-Jan-02 12:20:00.0000 UTC,259.2262298933321,280.18525541120465,224.86555960250516,226.94363936597955,271.32450746792233,24.320659242160673,341.69217705087374,288.58762506559594,136.0225128291738
A.D. 2018-Jan-03 12:20:00.0000 UTC,260.29542382566984,281.4433750570937,225.488731441014,227.10899486847245,271.4411213098639,24.321039532361354,341.7148662553381,288.62151023514446,135.8959128275525
A.D. 2018-Jan-04 12:20:00.0000 UTC,261.4107002643107,282.701466272354,226.11168940881865,227.27268730770493,271.5574969881868,24.322285962382306,341.73802411238916,288.65544285547077,135.76271200424642
A.D. 2018-Jan-05 12:20:00.0000 UTC,262.5669967512073,283.9595350688453,226.73442775848312,227.43468814611543,271.6736169808928,24.324399795662632,341.7616457369464,288.6894154996128,135.62300685585978
A.D. 2018-Jan-06 12:20:00.0000 UTC,263.7598862027052,285.2175847169264,227.35693727832142,227.59496754529795,271.78946317139713,24.32738230265364,341.7857261616303,288.7234205756852,135.47690530425697
A.D. 2018-Jan-07 12:20:00.0000 UTC,264.98550636434385,286.4756155938979,227.97920604041224,227.75349463924945,271.90501684334504,24.331234645325292,341.81026026040405,288.7574503053792,135.32452802764197
A.D. 2018-Jan-08 12:20:00.0000 UTC,266.2404951865522,287.7336254349695,228.60122023632252,227.91023784507573,272.02025874989926,24.33595777203109,341.83524269909634,288.79149673051654,135.16600916676535
A.D. 2018-Jan-09 12:20:00.0000 UTC,267.52193228366787,288.9916097744139,229.22296490107374,228.06516513866018,272.1351692150032,24.341552338797523,341.860667911821,288.82555173564697,135.00149652947908
A.D. 2018-Jan-10 12:20:00.0000 UTC,268.8272863351448,290.2495624056127,229.84442444616093,228.21824426534002,272.249728234788,24.348018658785907,341.88653009582436,288.8596070758274,134.83115148555115
A.D. 2018-Jan-11 12:20:00.0000 UTC,270.15436815238684,291.5074757656743,230.46558301096857,228.36944288746005,272.36391556317733,24.355356673705074,341.91282321637027,288.89365440285263,134.6551487130844
A.D. 2018-Jan-12 12:20:00.0000 UTC,271.5012890595188,292.76534121595745,231.0864246832892,228.5187286858461,272.47771077828406,24.363565938883006,341.93954101529965,288.92768528722814,134.47367589607896
A.D. 2018-Jan-13 12:20:00.0000 UTC,272.8664241868149,294.02314922954014,231.7069336467546,228.6660694350718,272.59109333322,24.37264561495121,341.96667701961263,288.9616912358643,134.2869334128692
A.D. 2018-Jan-14 12:20:00.0000 UTC,274.24838024597017,295.28088951418886,232.32709430289586,228.81143306889985,272.7040425975575,24.382594461485976,341.99422454868187,288.99566370681384,134.09513401215503
A.D. 2018-Jan-15 12:20:00.0000 UTC,275.6459673460537,296.538551102876,232.9468913996691,228.9547877465802,272.81653789561597,24.393410830324637,342.0221767202401,289.0295941227752,133.8985024597949
A.D. 2018-Jan-16 12:20:00.0000 UTC,277.0581744146153,297.796122439688,233.56631018213758,229.0961019248678,272.9285585462653,24.405092658185218,342.0505264561266,289.06347388490366,133.69727511864025
A.D. 2018-Jan-17 12:20:00.0000 UTC,278.48414780574814,299.05359148088075,234.1853365673915,229.23534443575542,273.04008390688176,24.417637459496994,342.079266489066,289.09729438797945,133.49169944272657
A.D. 2018-Jan-18 12:20:00.0000 UTC,279.923172702175,300.3109458213363,234.8039573360972,229.37248456656002,273.1510934220049,24.431042320971088,342.10838937160236,289.1310470373658,133.2820333598895
A.D. 2018-Jan-19 12:20:00.0000 UTC,281.3746569496861,301.56817284804816,235.42216032857323,229.50749213755546,273.2615666756385,24.44530389943005,342.1378874878832,289.1647232676322,133.06854454384197
A.D. 2018-Jan-20 12:20:00.0000 UTC,282.8381169986904,302.8252599168598,236.03993463429808,229.64033757283454,273.37148344540776,24.46041842392732,342.167753068485,289.19831456238325,132.85150957878545
A.D. 2018-Jan-21 12:20:00.0000 UTC,284.31316566814394,304.0821945483206,236.65727076874987,229.77099196183428,273.4808237570537,24.476381702548572,342.19797820812806,289.231812474816,132.63121302579304
A.D. 2018-Jan-22 12:20:00.0000 UTC,285.79950148948143,305.3389646436274,237.27416083732527,229.89942711077728,273.589567938767,24.493189133897868,342.22855488614505,289.26520864881417,132.40794640223902
A.D. 2018-Jan-23 12:20:00.0000 UTC,287.29689942833136,306.5955587305161,237.8905986881202,230.02561558355276,273.6976966759481,24.510835723518685,342.25947499000927,289.2984948407935,132.18200707263452
A.D. 2018-Jan-24 12:20:00.0000 UTC,288.8052028141001,307.8519662577012,238.50658004863286,230.14953072877216,273.8051910671186,24.529316106599484,342.29073034297767,289.3316629427463,131.95369703808962
A.D. 2018-Jan-25 12:20:00.0000 UTC,290.3243163251758,309.10817795879854,239.12210262225608,230.27114668306658,273.9120326797826,24.548624580147592,342.32231273759504,289.3647050065712,131.72332161721388
A.D. 2018-Jan-26 12:20:00.0000 UTC,291.8541998734406,310.36418629443267,239.73716608864547,230.39043833085435,274.0182036001524,24.56875514975501,342.354213976824,289.39761326845024,131.4911880276296
A.D. 2018-Jan-27 12:20:00.0000 UTC,293.3948632015318,311.61998594617324,240.35177191514896,230.5073811912424,274.12368646285887,24.58970159678618,342.38642592305575,289.4303801695181,131.2576039310179
A.D. 2018-Jan-28 12:20:00.0000 UTC,294.94636095586327,312.8755742761217,240.96592286525998,230.62195120100668,274.2284644383744,24.61145756923741,342.41894055150675,289.4629983658585,131.02287609032305
A.D. 2018-Jan-29 12:20:00.0000 UTC,296.50878795547237,314.1309515976705,241.5796221186606,230.73412437924782,274.33252115262746,24.63401669178556,342.4517499987612,289.49546071856616,130.7873093786948
A.D. 2018-Jan-30 12:20:00.0000 UTC,298.0822743931615,315.38612107022607,242.1928720256033,230.84387640068968,274.4358405231631,24.657372678305524,342.4848465919079,289.52776025604953,130.55120640292176
A.D. 2018-Jan-31 12:20:00.0000 UTC,299.66698082878725,316.6410880901776,242.80567269140374,230.95118216012617,274.53840652308645,24.681519419023086,342.51822284339994,289.5598901080754,130.31486789638336
A.D. 2018-Feb-01 12:20:00.0000 UTC,301.2630930474306,317.89585921826495,243.41802073489228,231.05601544700664,274.6402029187662,24.7064510138688,342.5518714051188,289.59184342266224,130.07859376741393
A.D. 2018-Feb-02 12:20:00.0000 UTC,302.8708170430876,319.15044088430966,244.0299085662753,231.15834883067174,274.74121304773206,24.7321617388895,342.5857849900097,289.62361328618823,129.84268441056096
A.D. 2018-Feb-03 12:20:00.0000 UTC,304.49037441311765,320.40483821037884,244.64132434674954,231.25815378218851,274.8414196913846,24.758645957157622,342.61995628232694,289.65519266691007,129.607441764073
A.D. 2018-Feb-04 12:20:00.0000 UTC,306.12199828235094,321.6590542203458,245.2522525321525,231.35540097290973,274.94080505856766,24.78589800413687,342.65437785960654,289.6865743919614,129.3731697335829
A.D. 2018-Feb-05 12:20:00.0000 UTC,307.765929635597,322.91308951838,245.86267472956533,231.4500606451493,275.03935085639165,24.813912079446357,342.68904214074104,289.7177511548259,129.1401738967613
A.D. 2018-Feb-06 12:20:00.0000 UTC,309.4224137689797,324.16694234865656,246.47257058318752,231.54210296136156,275.137038405679,24.842682165182758,342.7239413622279,289.74871554203276,128.9087606394434
A.D. 2018-Feb-07 12:20:00.0000 UTC,311.09169652844645,325.42060887224886,247.0819185054708,231.6314982806063,275.23384876232564,24.872201975833512,342.7590675760151,289.779460066785,128.6792359851714
A.D. 2018-Feb-08 12:20:00.0000 UTC,312.77402004773603,326.67408350880095,247.690696190392,231.71821735309035,275.3297628213613,24.90246493436806,342.7944126596165,289.80997720082684,128.45190434258183
A.D. 2018-Feb-09 12:20:00.0000 UTC,314.4696177626131,327.9273592431771,248.29888093056445,231.80223144903414,275.4247613959658,24.93346416515153,342.8299683305662,289.8402594004642,128.2270673160856
A.D. 2018-Feb-10 12:20:00.0000 UTC,316.17870852274694,329.1804278512512,248.9064497986228,231.88351244693592,275.5188252738855,24.96519249485475,342.8657261601849,289.8702991261714,128.0050226397344
A.D. 2018-Feb-11 12:20:00.0000 UTC,317.90148963730167,330.43328003763213,249.5133797600256,231.96203290494674,275.6119352584914,24.99764245495658,342.9016775843849,289.9000888572073,127.78606323941278
A.D. 2018-Feb-12 12:20:00.0000 UTC,319.63812868102536,331.68590550078443,250.1196477752899,232.03776613335978,275.7040722029059,25.030806282142095,342.93781391125555,289.92962110348265,127.5704763935058
A.D. 2018-Feb-13 12:20:00.0000 UTC,321.38875386328704,332.93829295260673,250.72523093470033,232.11068627936544,275.7952170448769,25.064675915264534,342.9741263264861,289.958888417023,127.3585429499324
A.D. 2018-Feb-14 12:20:00.0000 UTC,323.15344272942673,334.19043012443916,251.33010665172074,232.1807684284053,275.8853508482887,25.099242989443542,343.01060589844275,289.9878834050598,127.15053655817923
A.D. 2018-Feb-15 12:20:00.0000 UTC,324.9322089252247,335.4423037917192,251.93425292359484,232.2479887200097,275.9744548547564,25.13449882933143,343.0472435850369,290.01659874617786,126.94672288010048
A.D. 2018-Feb-16 12:20:00.0000 UTC,326.7249867131778,336.69389984533245,252.5376486498309,232.3123244703635,276.06251054586977,25.170434444522204,343.0840302444081,290.0450272101302,126.74735875695171
A.D. 2018-Feb-17 12:20:00.0000 UTC,328.5316128864321,337.94520342915587,253.14027398370777,232.37375428984657,276.1494997137227,25.207040530366868,343.1209566509182,290.07316168099965,126.55269133602079
A.D. 2018-Feb-18 12:20:00.0000 UTC,330.35180568832965,339.19619915166345,253.74211068189874,232.43225818232818,276.2354045349927,25.2443074770182,343.15801351709416,290.1009951825438,126.36295717502078
A.D. 2018-Feb-19 12:20:00.0000 UTC,332.1851403219469,340.4468713679254,254.343142415319,232.48781761436396,276.3202076426337,25.282225388501733,343.1951915212268,290.12852090401464,126.17838136149598
A.D. 2018-Feb-20 12:20:00.0000 UTC,334.0310206370253,341.6972045209038,254.94335500971061,232.54041554577384,276.4038921894209,25.32078411240703,343.2324813396189,290.1557322246411,125.99917668863921
A.D. 2018-Feb-21 12:20:00.0000 UTC,335.8886466248121,342.9471835301926,255.5427365924574,232.59003641641348,276.48644189863296,25.359973279940736,343.269873682208,290.1826227351905,125.82554292678391
A.D. 2018-Feb-22 12:20:00.0000 UTC,337.7569774473253,344.1967942210195,256.1412776253024,232.63666608519443,276.5678410979863,25.399782355914436,343.30735933039466,290.20918625529146,125.65766622202322
A.D. 2018-Feb-23 12:20:00.0000 UTC,339.6346898882026,345.4460237906201,256.73897079515416,232.68029171576222,276.64807473234833,25.440200698599938,343.3449291760143,290.23541684507865,125.49571865348003
A.D. 2018-Feb-24 12:20:00.0000 UTC,341.520132349077,346.69486130409183,257.3358107176572,232.72090160043348,276.7271283483562,25.481217629515164,343.38257425990844,290.2613088089807,125.33985799239522
A.D. 2018-Feb-25 12:20:00.0000 UTC,343.4112748415928,347.9432981895553,257.93179339169313,232.7584849145958,276.80498804096374,25.52282251193729,343.42028580701134,290.2868566883042,125.19022773282123
A.D. 2018-Feb-26 12:20:00.0000 UTC,345.3056558583908,349.1913286622967,258.5269153489564,232.79303140386116,276.88164035117063,25.56500483331188,343.45805525237694,290.31205523852117,125.04695748791326
A.D. 2018-Feb-27 12:20:00.0000 UTC,347.2003275707746,350.43894996384546,259.12117249531684,232.82453102955168,276.95707210984943,25.607754280984203,343.4958742502648,290.33689938820896,124.91016383258035
A.D. 2018-Feb-28 12:20:00.0000 UTC,349.0918015215821,351.6861622861201,259.71455874656294,232.8529736300035,277.0312702371357,25.651060795298076,343.53373465843293,290.3613841805432,124.77995160782856
A.D. 2018-Mar-01 12:20:00.0000 UTC,350.9759978608241,352.93296829727933,260.3070646857303,232.87834867911363,277.1042215269263,25.694914583490316,343.5716284941509,290.38550470464367,124.65641556179341
A.D. 2018-Mar-02 12:20:00.0000 UTC,352.848202141123,354.1793722999478,260.89867653688424,232.90064521774744,277.17591246102296,25.739306085436354,343.60954786683203,290.40925602995594,124.53964206089258
A.D. 2018-Mar-03 12:20:00.0000 UTC,354.70303457527336,355.4253791857859,261.4893756928023,232.9198519893814,277.24632909533256,25.784225896640937,343.64748490075743,290.4326331581251,124.42971054609103
A.D. 2018-Mar-04 12:20:00.0000 UTC,356.5344371986535,356.6709934239053,262.0791388593969,232.93595774723218,277.3154570387066,25.829664667609176,343.68543166488337,290.4556310016392,124.32669448229214
A.D. 2018-Mar-05 12:20:00.0000 UTC,358.3356843137995,357.9162182884246,262.66793868236743,232.94895165170527,277.38328151488736,25.87561300397506,343.72338012288776,290.4782443894928,124.23066173643944
A.D. 2018-Mar-06 12:20:00.0000 UTC,0.09942075041889285,359.1610554194589,263.2557446081589,232.95882366826226,277.4497874762561,25.92206138652733,343.7613221081175,290.50046809235243,124.14167449693403
A.D. 2018-Mar-07 12:20:00.0000 UTC,1.8177308049272576,0.40550469296966146,263.8425237386833,232.9655649024004,277.5149597333565,25.969000119323713,343.79924932004025,290.5222968566698,124.05978894275343
A.D. 2018-Mar-08 12:20:00.0000 UTC,3.482238319220634,1.6495643029573195,264.4282415262029,232.9691678476392,277.578783073202,26.016419303991896,343.8371533345608,290.5437254387244,123.9850548575163
A.D. 2018-Mar-09 12:20:00.0000 UTC,5.0842354689842075,2.893230944452765,265.01286225586216,232.96962655387222,277.64124235324346,26.06430883271075,343.87502562031193,290.56474863329686,123.91751532458412
A.D. 2018-Mar-10 12:20:00.0000 UTC,6.614834886337714,4.136500007102492,265.5963493373173,232.96693673973323,277.7023225696068,26.112658391190326,343.9128575550742,290.58536129531075,123.85720655734822
A.D. 2018-Mar-11 12:20:00.0000 UTC,8.06513730476433,5.379365722160434,266.1786654650233,232.96109587619054,277.7620089053146,26.161457464423698,343.95064043909065,290.6055583552795,123.80415786674892
A.D. 2018-Mar-12 12:20:00.0000 UTC,9.426405556284875,6.621821235725757,266.75977271838036,232.9521032650042,277.8202867672734,26.210695340364477,343.9883655042731,290.625334830709,123.75839173049279
A.D. 2018-Mar-13 12:20:00.0000 UTC,10.69023586859783,7.8638586039691365,267.33963267041236,232.93996012923074,277.8771418213608,26.260361109069635,344.0260239199359,290.64468583610466,123.71992391572385
