Time,ra,dec,distance
A.D. 2020-Jan-01 00:00:00.0000 UTC,15.72983354137055,-19.3859870792344,2.1843952363332817
A.D. 2020-Jan-02 00:00:00.0000 UTC,15.776056995318356,-19.544140362027328,2.177193774844693
A.D. 2020-Jan-03 00:00:00.0000 UTC,15.822391734633339,-19.699745458173794,2.1699589182864623
A.D. 2020-Jan-04 00:00:00.0000 UTC,15.86883748198384,-19.85277305972023,2.162691443484005
A.D. 2020-Jan-05 00:00:00.0000 UTC,15.915393966962206,-20.003194365714638,2.1553921070778475
A.D. 2020-Jan-06 00:00:00.0000 UTC,15.962060928727796,-20.150981091801498,2.1480616413532814
A.D. 2020-Jan-07 00:00:00.0000 UTC,16.008838118910067,-20.296105482777403,2.140700747143512
A.D. 2020-Jan-08 00:00:00.0000 UTC,16.055725301248142,-20.438540314569376,2.133310083333378
A.D. 2020-Jan-09 00:00:00.0000 UTC,16.102722243473156,-20.578258868673352,2.1258902534753874
A.D. 2020-Jan-10 00:00:00.0000 UTC,16.149828696855902,-20.715234862151437,2.1184417914736127
A.D. 2020-Jan-11 00:00:00.0000 UTC,16.197044360566636,-20.849442323222497,2.1109651499001107
A.D. 2020-Jan-12 00:00:00.0000 UTC,16.24436883206616,-20.980855418114075,2.1034606955096056
A.D. 2020-Jan-13 00:00:00.0000 UTC,16.291801550330355,-21.109448255873208,2.095928715899664
A.D. 2020-Jan-14 00:00:00.0000 UTC,16.339341743224345,-21.235194714431355,2.088369438573668
A.D. 2020-Jan-15 00:00:00.0000 UTC,16.386988390793707,-21.358068332114726,2.0807830597932533
A.D. 2020-Jan-16 00:00:00.0000 UTC,16.43474021172463,-21.47804229078972,2.073169777543027
A.D. 2020-Jan-17 00:00:00.0000 UTC,16.482595673126454,-21.595089489198116,2.065529822313472
A.D. 2020-Jan-18 00:00:00.0000 UTC,16.530553017989146,-21.709182682684865,2.057863481226776
A.D. 2020-Jan-19 00:00:00.0000 UTC,16.57861030254301,-21.82029465746219,2.0501711138348435
A.D. 2020-Jan-20 00:00:00.0000 UTC,16.62676543693619,-21.928398412315488,2.042453160141305
A.D. 2020-Jan-21 00:00:00.0000 UTC,16.675016225179775,-22.033467330805525,2.03471014236169
A.D. 2020-Jan-22 00:00:00.0000 UTC,16.723360402425985,-22.135475335710375,2.0269426618914332
A.D. 2020-Jan-23 00:00:00.0000 UTC,16.771795668602447,-22.234397021987625,2.019151392519568
A.D. 2020-Jan-24 00:00:00.0000 UTC,16.82031971746016,-22.33020776564853,2.011337070625738
A.D. 2020-Jan-25 00:00:00.0000 UTC,16.86893025986545,-22.422883805935506,2.0035004831235614
A.D. 2020-Jan-26 00:00:00.0000 UTC,16.917625040284204,-22.512402299041113,1.9956424541661932
A.D. 2020-Jan-27 00:00:00.0000 UTC,16.96640184609101,-22.598741344020034,1.9877638318575874
A.D. 2020-Jan-28 00:00:00.0000 UTC,17.015258510409694,-22.681879984814195,1.9798654762016605
A.D. 2020-Jan-29 00:00:00.0000 UTC,17.06419291022974,-22.761798195156306,1.9719482492020615
