Time,ra,dec,distance
A.D. 2020-Jan-01 00:00:00.0000 UTC,19.3136899096743,-26.25133855305206,3.8827808220148325
A.D. 2020-Jan-02 00:00:00.0000 UTC,19.34324382362993,-26.218187043708078,3.8851545398807477
A.D. 2020-Jan-03 00:00:00.0000 UTC,19.372787749299523,-26.183942283917652,3.8873786025732153
A.D. 2020-Jan-04 00:00:00.0000 UTC,19.402319993215308,-26.14861167620763,3.889453070849223
A.D. 2020-Jan-05 00:00:00.0000 UTC,19.431838923515294,-26.112202857170622,3.891378035140936
A.D. 2020-Jan-06 00:00:00.0000 UTC,19.461342973958562,-26.074723684758926,3.893153612387476
A.D. 2020-Jan-07 00:00:00.0000 UTC,19.490830650279253,-26.036182224005575,3.894779940879288
A.D. 2020-Jan-08 00:00:00.0000 UTC,19.52030053782396,-25.996586732828256,3.896257171305504
A.D. 2020-Jan-09 00:00:00.0000 UTC,19.549751308167867,-25.955945650682153,3.8975854525577143
A.D. 2020-Jan-10 00:00:00.0000 UTC,19.579181721271823,-25.914267593842734,3.8987649119318943
A.D. 2020-Jan-11 00:00:00.0000 UTC,19.60859061915193,-25.871561361274345,3.8997956313258184
A.D. 2020-Jan-12 00:00:00.0000 UTC,19.637976908110097,-25.827835953571086,3.9006776234766902
A.D. 2020-Jan-13 00:00:00.0000 UTC,19.667339529205165,-25.783100604119984,3.9014108140844916
A.D. 2020-Jan-14 00:00:00.0000 UTC,19.696677420885607,-25.737364817497664,3.901995035444529
A.D. 2020-Jan-15 00:00:00.0000 UTC,19.7259894807501,-25.69063840733234,3.902430034395744
A.D. 2020-Jan-16 00:00:00.0000 UTC,19.755274534025425,-25.642931526143634,3.902715493160684
A.D. 2020-Jan-17 00:00:00.0000 UTC,19.78453131377496,-25.59425468282793,3.902851058226413
A.D. 2020-Jan-18 00:00:00.0000 UTC,19.81375845389075,-25.544618747474956,3.902836371391765
A.D. 2020-Jan-19 00:00:00.0000 UTC,19.842954492951,-25.494034945871633,3.9026710983702517
A.D. 2020-Jan-20 00:00:00.0000 UTC,19.87211788555793,-25.442514846795195,3.9023549525138415
A.D. 2020-Jan-21 00:00:00.0000 UTC,19.90124701824225,-25.390070344432626,3.901887713033327
A.D. 2020-Jan-22 00:00:00.0000 UTC,19.93034022782909,-25.336713637299198,3.901269237958014
A.D. 2020-Jan-23 00:00:00.0000 UTC,19.959395820978017,-25.282457204482185,3.9004994722055444
A.D. 2020-Jan-24 00:00:00.0000 UTC,19.98841209389068,-25.227313780156734,3.899578450988295
A.D. 2020-Jan-25 00:00:00.0000 UTC,20.017387351061092,-25.17129632782962,3.898506298771409
A.D. 2020-Jan-26 00:00:00.0000 UTC,20.04631992187905,-25.114418016100643,3.897283224277871
A.D. 2020-Jan-27 00:00:00.0000 UTC,20.07520817402993,-25.056692197594295,3.8959095124879
A.D. 2020-Jan-28 00:00:00.0000 UTC,20.10405052308163,-24.998132392032502,3.894385514962637
A.D. 2020-Jan-29 00:00:00.0000 UTC,20.132845438316032,-24.938752273398187,3.892711639932832
A.D. 2020-Jan-30 00:00:00.0000 UTC,20.161591445575784,-24.878565660077758,3.890888343377497
A.D. 2020-Jan-31 00:00:00.0000 UTC,20.19028712823896,-24.81758650624675,3.8889161218348045
A.D. 2020-Feb-01 00:00:00.0000 UTC,20.21893112773978,-24.755828892354014,3.8867955071133355
A.D. 2020-Feb-02 00:00:00.0000 UTC,20.247522144957106,-24.693307012667766,3.8845270624809674
A.D. 2020-Feb-03 00:00:00.0000 UTC,20.276058943391945,-24.630035158469543,3.882111379347275
A.D. 2020-Feb-04 00:00:00.0000 UTC,20.304540354759453,-24.566027696276898,3.87954907297339
A.D. 2020-Feb-05 00:00:00.0000 UTC,20.332965286774844,-24.50129904221871,3.876840775323732
