Time,ra,dec,distance
A.D. 2020-Jan-01 00:00:00.0000 UTC,18.46448462220039,-23.193625858711492,6.2089058845158815
A.D. 2020-Jan-02 00:00:00.0000 UTC,18.481176336270686,-23.18387152392149,6.207474142955318
A.D. 2020-Jan-03 00:00:00.0000 UTC,18.497858214433606,-23.17372180806347,6.205826366587976
A.D. 2020-Jan-04 00:00:00.0000 UTC,18.514528510856362,-23.163178871282366,6.203963054114018
A.D. 2020-Jan-05 00:00:00.0000 UTC,18.53118551337057,-23.15224506150141,6.2018847452938335
A.D. 2020-Jan-06 00:00:00.0000 UTC,18.547827545548074,-23.140922911192618,6.199592016287866
A.D. 2020-Jan-07 00:00:00.0000 UTC,18.564452969875713,-23.12921513419203,6.197085472524394
A.D. 2020-Jan-08 00:00:00.0000 UTC,18.581060191075657,-23.117124621896338,6.194365737512423
A.D. 2020-Jan-09 00:00:00.0000 UTC,18.597647657924355,-23.104654438034334,6.191433436654071
A.D. 2020-Jan-10 00:00:00.0000 UTC,18.61421386135669,-23.091807811294856,6.188289176477331
A.D. 2020-Jan-11 00:00:00.0000 UTC,18.63075732661139,-23.07858812556468,6.184933521809541
A.D. 2020-Jan-12 00:00:00.0000 UTC,18.647276598140284,-23.064998908404824,6.181366975671507
A.D. 2020-Jan-13 00:00:00.0000 UTC,18.66377021806787,-23.05104381944588,6.177589967858941
A.D. 2020-Jan-14 00:00:00.0000 UTC,18.680236701472495,-23.036726641082403,6.173602857039305
A.D. 2020-Jan-15 00:00:00.0000 UTC,18.696674513353326,-23.02205127365739,6.169405947620135
A.D. 2020-Jan-16 00:00:00.0000 UTC,18.713082051808883,-23.007021736190637,6.16499951824212
A.D. 2020-Jan-17 00:00:00.0000 UTC,18.729457639847652,-22.991642172172014,6.160383855841835
A.D. 2020-Jan-18 00:00:00.0000 UTC,18.745799525651787,-22.975916858800677,6.155559289056176
A.D. 2020-Jan-19 00:00:00.0000 UTC,18.762105889343868,-22.95985021770557,6.150526216698766
A.D. 2020-Jan-20 00:00:00.0000 UTC,18.778374853837363,-22.943446825487282,6.145285129531113
A.D. 2020-Jan-21 00:00:00.0000 UTC,18.79460449779984,-22.92671142299877,6.139836625308143
A.D. 2020-Jan-22 00:00:00.0000 UTC,18.810792869456122,-22.909648922759747,6.134181417772
A.D. 2020-Jan-23 00:00:00.0000 UTC,18.82693800043799,-22.89226441420226,6.128320340247986
A.D. 2020-Jan-24 00:00:00.0000 UTC,18.843037919031655,-22.874563166610272,6.122254344316446
A.D. 2020-Jan-25 00:00:00.0000 UTC,18.859090662127056,-22.856550629757322,6.11598449406812
A.D. 2020-Jan-26 00:00:00.0000 UTC,18.875094285159246,-22.83823243240981,6.1095119567712235
