Time,ra,dec,distance
A.D. 2020-Jan-01 00:00:00.0000 UTC,18.3018666651857,-24.64569550800438,1.4339981203464587
A.D. 2020-Jan-02 00:00:00.0000 UTC,18.417700745515827,-24.672180591981984,1.4360341712219618
A.D. 2020-Jan-03 00:00:00.0000 UTC,18.533931887695896,-24.67575272754939,1.437520507988096
A.D. 2020-Jan-04 00:00:00.0000 UTC,18.650531918193284,-24.656111248819464,1.438455345309425
A.D. 2020-Jan-05 00:00:00.0000 UTC,18.767472053126834,-24.612966657787887,1.4388357538741199
A.D. 2020-Jan-06 00:00:00.0000 UTC,18.88472282421036,-24.546040658178114,1.4386576277377359
A.D. 2020-Jan-07 00:00:00.0000 UTC,19.002254007607057,-24.45506637857776,1.437915646715076
A.D. 2020-Jan-08 00:00:00.0000 UTC,19.120034547492853,-24.339788789907377,1.4366032325635227
A.D. 2020-Jan-09 00:00:00.0000 UTC,19.238032463331237,-24.199965333342465,1.434712498137625
A.D. 2020-Jan-10 00:00:00.0000 UTC,19.35621472691569,-24.035366789938028,1.4322341897042803
A.D. 2020-Jan-11 00:00:00.0000 UTC,19.47454709339645,-23.845778441986152,1.4291576243259327
A.D. 2020-Jan-12 00:00:00.0000 UTC,19.592993871499093,-23.631001595641916,1.4254706263765262
A.D. 2020-Jan-13 00:00:00.0000 UTC,19.711517622886667,-23.390855549611203,1.421159469002453
A.D. 2020-Jan-14 00:00:00.0000 UTC,19.830078787602275,-23.12518010161663,1.4162088266130595
A.D. 2020-Jan-15 00:00:00.0000 UTC,19.948635237682907,-22.833838684202632,1.410601742892488
A.D. 2020-Jan-16 00:00:00.0000 UTC,20.067141760328838,-22.51672222204997,1.4043196163009555
A.D. 2020-Jan-17 00:00:00.0000 UTC,20.18554946488944,-22.173753813676743,1.3973422033477658
A.D. 2020-Jan-18 00:00:00.0000 UTC,20.303805097864142,-21.80489436509699,1.3896476403185636
A.D. 2020-Jan-19 00:00:00.0000 UTC,20.421850241626927,-21.410149337971976,1.3812124865300512
A.D. 2020-Jan-20 00:00:00.0000 UTC,20.539620367966428,-20.98957681300144,1.3720117955325328
A.D. 2020-Jan-21 00:00:00.0000 UTC,20.657043716268138,-20.543297105684584,1.362019223973751
A.D. 2020-Jan-22 00:00:00.0000 UTC,20.7740399664397,-20.071504204162068,1.3512071906819612
A.D. 2020-Jan-23 00:00:00.0000 UTC,20.89051867708092,-19.574479327743003,1.3395471010477211
A.D. 2020-Jan-24 00:00:00.0000 UTC,21.006377459635054,-19.052606928990603,1.3270096543237806
A.D. 2020-Jan-25 00:00:00.0000 UTC,21.12149986011264,-18.506393478322178,1.3135652542525933
A.D. 2020-Jan-26 00:00:00.0000 UTC,21.235752922928246,-17.93648937062585,1.2991845464360905
A.D. 2020-Jan-27 00:00:00.0000 UTC,21.34898441818294,-17.343714267561303,1.2838391087120253
A.D. 2020-Jan-28 00:00:00.0000 UTC,21.461019726063693,-16.729086123083448,1.2675023228457132
A.D. 2020-Jan-29 00:00:00.0000 UTC,21.571658391486526,-16.093854017563782,1.2501504562143801
A.D. 2020-Jan-30 00:00:00.0000 UTC,21.68067039019548,-15.439534730668962,1.2317639798417057
A.D. 2020-Jan-31 00:00:00.0000 UTC,21.787792185779164,-14.76795269785028,1.2123291429863483
A.D. 2020-Feb-01 00:00:00.0000 UTC,21.892722706877684,-14.081282605042308,1.1918398132366466
A.D. 2020-Feb-02 00:00:00.0000 UTC,21.99511943595262,-13.382093372546343,1.1702995734394763
A.D. 2020-Feb-03 00:00:00.0000 UTC,22.094594874596496,-12.673391666925289,1.1477240417706946
A.D. 2020-Feb-04 00:00:00.0000 UTC,22.190713732150847,-11.958662385676222,1.1241433485334351
A.D. 2020-Feb-05 00:00:00.0000 UTC,22.28299126756297,-11.241902839890152,1.0996046639311956
A.D. 2020-Feb-06 00:00:00.0000 UTC,22.37089328813981,-10.527646706092408,1.0741746282674474
A.D. 2020-Feb-07 00:00:00.0000 UTC,22.4538383588817,-9.820973350827447,1.0479414955812034
A.D. 2020-Feb-08 00:00:00.0000 UTC,22.53120278696181,-9.127497981593688,1.021016772039106
A.D. 2020-Feb-09 00:00:00.0000 UTC,22.602328905339682,-8.453338348471313,0.9935361213198359
A.D. 2020-Feb-10 00:00:00.0000 UTC,22.666537083280126,-7.805054436177301,0.9656593293727561
A.D. 2020-Feb-11 00:00:00.0000 UTC,22.723141745763126,-7.189558653462492,0.9375691739673155
A.D. 2020-Feb-12 00:00:00.0000 UTC,22.771471500163994,-6.6139952490802125,0.9094691260828697
A.D. 2020-Feb-13 00:00:00.0000 UTC,22.810893254905043,-6.08558884039397,0.881579908347399
A.D. 2020-Feb-14 00:00:00.0000 UTC,22.84083996822058,-5.611462899111672,0.8541350340810671
A.D. 2020-Feb-15 00:00:00.0000 UTC,22.860841373913107,-5.198429842099276,0.8273755327812518
A.D. 2020-Feb-16 00:00:00.0000 UTC,22.87055667886639,-4.8527552919694354,0.8015441212323429
A.D. 2020-Feb-17 00:00:00.0000 UTC,22.869807797674234,-4.579900598189322,0.7768790973848101
A.D. 2020-Feb-18 00:00:00.0000 UTC,22.858611177213785,-4.38425047003532,0.7536082196919791
A.D. 2020-Feb-19 00:00:00.0000 UTC,22.8372056979417,-4.268837059613997,0.7319428004701736
A.D. 2020-Feb-20 00:00:00.0000 UTC,22.806073613889847,-4.235078005504376,0.7120722062998669
A.D. 2020-Feb-21 00:00:00.0000 UTC,22.765951182656767,-4.282552849248683,0.6941589376156955
A.D. 2020-Feb-22 00:00:00.0000 UTC,22.717825766553695,-4.408847853916727,0.6783344601451902
A.D. 2020-Feb-23 00:00:00.0000 UTC,22.662916966248094,-4.6095008326961135,0.6646959763781506
A.D. 2020-Feb-24 00:00:00.0000 UTC,22.602640869169985,-4.878072520576939,0.6533043378865849
A.D. 2020-Feb-25 00:00:00.0000 UTC,22.538558631069595,-5.206358079387829,0.644183286266473
A.D. 2020-Feb-26 00:00:00.0000 UTC,22.47231298409327,-5.584732823858215,0.6373201537262935
A.D. 2020-Feb-27 00:00:00.0000 UTC,22.40555832281928,-6.002604290556975,0.6326680497572839
A.D. 2020-Feb-28 00:00:00.0000 UTC,22.339891200522878,-6.448924170242239,0.6301494219037166
A.D. 2020-Feb-29 00:00:00.0000 UTC,22.27678801839768,-6.912703806459601,0.6296607353537952
A.D. 2020-Mar-01 00:00:00.0000 UTC,22.21755541042028,-7.383478712771185,0.6310779017799751
A.D. 2020-Mar-02 00:00:00.0000 UTC,22.163296670609444,-7.8516799097829315,0.6342620290634069
A.D. 2020-Mar-03 00:00:00.0000 UTC,22.114895103913895,-8.308888697897729,0.6390650704159521
A.D. 2020-Mar-04 00:00:00.0000 UTC,22.073012974003,-8.747971338780655,0.6453350160781635
A.D. 2020-Mar-05 00:00:00.0000 UTC,22.03810316269184,-9.163106387490707,0.6529203724957567
A.D. 2020-Mar-06 00:00:00.0000 UTC,22.010429888603202,-9.54972756422814,0.6616737878076744
A.D. 2020-Mar-07 00:00:00.0000 UTC,21.990094779520373,-9.904408811727867,0.6714547875675169
A.D. 2020-Mar-08 00:00:00.0000 UTC,21.977065048765077,-10.224716873788205,0.6821316679707187
A.D. 2020-Mar-09 00:00:00.0000 UTC,21.971201256720597,-10.509052311080906,0.6935826507750994
A.D. 2020-Mar-10 00:00:00.0000 UTC,21.972282947066514,-10.756494175505713,0.7056964351598737
A.D. 2020-Mar-11 00:00:00.0000 UTC,21.980031194888003,-10.966657935915435,0.718372289494935
A.D. 2020-Mar-12 00:00:00.0000 UTC,21.994127703487912,-11.139571508902542,0.7315198140385795
A.D. 2020-Mar-13 00:00:00.0000 UTC,22.014230495467675,-11.27557079983623,0.7450584805896897
A.D. 2020-Mar-14 00:00:00.0000 UTC,22.03998646757732,-11.375214039632256,0.7589170270690747
A.D. 2020-Mar-15 00:00:00.0000 UTC,22.071041169361024,-11.439213143690209,0.7730327628023932
A.D. 2020-Mar-16 00:00:00.0000 UTC,22.107046187998588,-11.468379914136047,0.7873508266232085
A.D. 2020-Mar-17 00:00:00.0000 UTC,22.14766451912517,-11.463584822307539,0.8018234317113809
A.D. 2020-Mar-18 00:00:00.0000 UTC,22.19257428898882,-11.425726177235687,0.816409124251279
A.D. 2020-Mar-19 00:00:00.0000 UTC,22.24147116637709,-11.355707651195933,0.8310720757956427
A.D. 2020-Mar-20 00:00:00.0000 UTC,22.29406976376835,-11.254422368384464,0.8457814220428046
A.D. 2020-Mar-21 00:00:00.0000 UTC,22.35010428100253,-11.122742035604809,0.8605106545177788
A.D. 2020-Mar-22 00:00:00.0000 UTC,22.409328597558414,-10.961509871217915,0.875237066921756
A.D. 2020-Mar-23 00:00:00.0000 UTC,22.4715159758962,-10.771536345558424,0.8899412547047817
A.D. 2020-Mar-24 00:00:00.0000 UTC,22.53645850069884,-10.553596969035842,0.9046066644729718
A.D. 2020-Mar-25 00:00:00.0000 UTC,22.603966347956682,-10.308431548750042,0.9192191888509653
A.D. 2020-Mar-26 00:00:00.0000 UTC,22.673866953420685,-10.036744481765584,0.9337668020812677
A.D. 2020-Mar-27 00:00:00.0000 UTC,22.746004131249403,-9.739205767040785,0.9482392316987258
A.D. 2020-Mar-28 00:00:00.0000 UTC,22.820237179744023,-9.416452503402276,0.9626276618681017
A.D. 2020-Mar-29 00:00:00.0000 UTC,22.89644000085287,-9.069090703639763,0.9769244642437427
A.D. 2020-Mar-30 00:00:00.0000 UTC,22.974500252637167,-8.697697300424572,0.9911229523959165
A.D. 2020-Mar-31 00:00:00.0000 UTC,23.054318548222476,-8.302822253764196,1.0052171558852023
A.D. 2020-Apr-01 00:00:00.0000 UTC,23.135807710142938,-7.884990697047072,1.019201609934964
A.D. 2020-Apr-02 00:00:00.0000 UTC,23.218892084745317,-7.444705084036987,1.0330711563843378
A.D. 2020-Apr-03 00:00:00.0000 UTC,23.30350691681189,-6.982447327215555,1.0468207512946723
A.D. 2020-Apr-04 00:00:00.0000 UTC,23.389597779321168,-6.498680952761756,1.0604452744873551
A.D. 2020-Apr-05 00:00:00.0000 UTC,23.477120047438955,-5.993853340014848,1.0739393368708705
A.D. 2020-Apr-06 00:00:00.0000 UTC,23.566038401027193,-5.468398154917841,1.0872970832548736
A.D. 2020-Apr-07 00:00:00.0000 UTC,23.6563263396918,-4.922738104692091,1.100511991644874
