Time,ra,dec,distance
A.D. 2020-Jan-01 00:00:00.0000 UTC,23.167205099140286,-6.470905301506927,30.31533451041574
A.D. 2020-Jan-02 00:00:00.0000 UTC,23.168405035008934,-6.462947700214443,30.331164115975266
A.D. 2020-Jan-03 00:00:00.0000 UTC,23.169636201422097,-6.4547979169407625,30.34686744978297
A.D. 2020-Jan-04 00:00:00.0000 UTC,23.170898262580067,-6.446458153064868,30.36243995794093
A.D. 2020-Jan-05 00:00:00.0000 UTC,23.17219087651726,-6.437930654649489,30.377877185347366
A.D. 2020-Jan-06 00:00:00.0000 UTC,23.173513695996842,-6.429217707415485,30.393174777901283
A.D. 2020-Jan-07 00:00:00.0000 UTC,23.174866369748333,-6.420321629817522,30.408328485139872
A.D. 2020-Jan-08 00:00:00.0000 UTC,23.176248544152667,-6.411244763353689,30.423334161324732
A.D. 2020-Jan-09 00:00:00.0000 UTC,23.177659865354478,-6.401989459848762,30.438187762254174
A.D. 2020-Jan-10 00:00:00.0000 UTC,23.179099981585242,-6.3925580665333515,30.4528853348289
A.D. 2020-Jan-11 00:00:00.0000 UTC,23.18056854524497,-6.382952911202415,30.46742299722296
A.D. 2020-Jan-12 00:00:00.0000 UTC,23.182065214113003,-6.373176291066231,30.48179690983022
A.D. 2020-Jan-13 00:00:00.0000 UTC,23.183589651085704,-6.363230469229728,30.496003240602864
A.D. 2020-Jan-14 00:00:00.0000 UTC,23.185141522156847,-6.35311768135006,30.510038131487956
A.D. 2020-Jan-15 00:00:00.0000 UTC,23.18672049287734,-6.342840152166443,30.523897673477688
A.D. 2020-Jan-16 00:00:00.0000 UTC,23.188326223996143,-6.332400118626385,30.53757789548947
A.D. 2020-Jan-17 00:00:00.0000 UTC,23.18995836714784,-6.321799854815028,30.55107476807008
A.D. 2020-Jan-18 00:00:00.0000 UTC,23.191616561272916,-6.311041694387822,30.564384219105108
A.D. 2020-Jan-19 00:00:00.0000 UTC,23.193300430102884,-6.300128047979921,30.57750215695588
A.D. 2020-Jan-20 00:00:00.0000 UTC,23.195009580727003,-6.289061414902545,30.590424496770574
A.D. 2020-Jan-21 00:00:00.0000 UTC,23.196743603093758,-6.277844389557393,30.603147187057175
A.D. 2020-Jan-22 00:00:00.0000 UTC,23.198502070272795,-6.266479663328509,30.61566623488076
A.D. 2020-Jan-23 00:00:00.0000 UTC,23.200284539338515,-6.254970022604156,30.627977728730507
A.D. 2020-Jan-24 00:00:00.0000 UTC,23.20209055276515,-6.243318343441643,30.640077858258664
A.D. 2020-Jan-25 00:00:00.0000 UTC,23.20391964021444,-6.23152758343694,30.651962930076824
A.D. 2020-Jan-26 00:00:00.0000 UTC,23.205771320561492,-6.21960077158764,30.66362937894921
A.D. 2020-Jan-27 00:00:00.0000 UTC,23.20764510397344,-6.207540997179884,30.67507377418009
A.D. 2020-Jan-28 00:00:00.0000 UTC,23.20954049385827,-6.195351398806216,30.68629282164875
A.D. 2020-Jan-29 00:00:00.0000 UTC,23.21145698854655,-6.183035154447013,30.697283362557148
A.D. 2020-Jan-30 00:00:00.0000 UTC,23.213394082644328,-6.170595473165296,30.708042370309506
A.D. 2020-Jan-31 00:00:00.0000 UTC,23.21535126807817,-6.15803558849177,30.71856694695584
A.D. 2020-Feb-01 00:00:00.0000 UTC,23.217328034924055,-6.145358753132215,30.728854320342712
A.D. 2020-Feb-02 00:00:00.0000 UTC,23.219323872160924,-6.1325682342788115,30.738901842623534
A.D. 2020-Feb-03 00:00:00.0000 UTC,23.221338268515744,-6.119667308570128,30.748706990156286
A.D. 2020-Feb-04 00:00:00.0000 UTC,23.22337071356839,-6.106659255633237,30.758267364069557
A.D. 2020-Feb-05 00:00:00.0000 UTC,23.22542069925126,-6.093547349212868,30.767580689900164
A.D. 2020-Feb-06 00:00:00.0000 UTC,23.227487721787018,-6.0803348452907295,30.776644813756278
A.D. 2020-Feb-07 00:00:00.0000 UTC,23.22957128393039,-6.067024967526754,30.785457691743275
A.D. 2020-Feb-08 00:00:00.0000 UTC,23.231670897111297,-6.053620891928728,30.794017369560596
A.D. 2020-Feb-09 00:00:00.0000 UTC,23.233786082789553,-6.040125734582364,30.802321951108095
A.D. 2020-Feb-10 00:00:00.0000 UTC,23.23591637220641,-6.026542547552444,30.81036955900232
A.D. 2020-Feb-11 00:00:00.0000 UTC,23.23806130397536,-6.012874327259071,30.818158294883855
A.D. 2020-Feb-12 00:00:00.0000 UTC,23.240220419641105,-5.999124036059422,30.825686210277617
A.D. 2020-Feb-13 00:00:00.0000 UTC,23.24239325814539,-5.9852946328035905,30.83295129670623
A.D. 2020-Feb-14 00:00:00.0000 UTC,23.24457935056221,-5.971389104771529,30.83995149711112
A.D. 2020-Feb-15 00:00:00.0000 UTC,23.246778216233352,-5.957410493743084,30.846684733373653
A.D. 2020-Feb-16 00:00:00.0000 UTC,23.24898936076306,-5.943361912330593,30.853148941043134
A.D. 2020-Feb-17 00:00:00.0000 UTC,23.251212275678245,-5.929246550591537,30.859342103259493
A.D. 2020-Feb-18 00:00:00.0000 UTC,23.253446439229304,-5.915067675318536,30.86526227926882
