Time,ra,dec,distance
A.D. 2020-Jan-01 00:00:00.0000 UTC,19.521933691562502,-21.726548453094424,10.996423399205094
A.D. 2020-Jan-02 00:00:00.0000 UTC,19.530247475031953,-21.70963492152785,10.999522914508448
A.D. 2020-Jan-03 00:00:00.0000 UTC,19.538574816991854,-21.69259121351307,11.002363947842616
A.D. 2020-Jan-04 00:00:00.0000 UTC,19.54691429285982,-21.675420090774857,11.004946116546487
A.D. 2020-Jan-05 00:00:00.0000 UTC,19.555264497572214,-21.65812436555199,11.007269115984204
A.D. 2020-Jan-06 00:00:00.0000 UTC,19.563624047240253,-21.640706897419935,11.009332715351762
A.D. 2020-Jan-07 00:00:00.0000 UTC,19.571991581591867,-21.623170588914455,11.011136751423622
A.D. 2020-Jan-08 00:00:00.0000 UTC,19.580365766812122,-21.60551838003972,11.012681118331994
A.D. 2020-Jan-09 00:00:00.0000 UTC,19.588745297956873,-21.58775324225285,11.013965751860958
A.D. 2020-Jan-10 00:00:00.0000 UTC,19.597128899686524,-21.569878173162174,11.01499060790176
A.D. 2020-Jan-11 00:00:00.0000 UTC,19.60551532387486,-21.55189619375287,11.015755636799822
A.D. 2020-Jan-12 00:00:00.0000 UTC,19.6139033429934,-21.533810350066034,11.016260757918278
A.D. 2020-Jan-13 00:00:00.0000 UTC,19.622291739212518,-21.515623720530552,11.01650584065287
A.D. 2020-Jan-14 00:00:00.0000 UTC,19.630679290628514,-21.497339428597716,11.016490697871715
A.D. 2020-Jan-15 00:00:00.0000 UTC,19.639064757204327,-21.478960658580704,11.016215094750896
A.D. 2020-Jan-16 00:00:00.0000 UTC,19.647446869193608,-21.460490671601274,11.015678771462044
A.D. 2020-Jan-17 00:00:00.0000 UTC,19.655824319898183,-21.441932818811367,11.014881474516656
A.D. 2020-Jan-18 00:00:00.0000 UTC,19.664195763185333,-21.423290550289327,11.013822990470642
A.D. 2020-Jan-19 00:00:00.0000 UTC,19.672559815044945,-21.404567419386566,11.012503177009277
A.D. 2020-Jan-20 00:00:00.0000 UTC,19.680915057993072,-21.385767083170784,11.010921988745965
A.D. 2020-Jan-21 00:00:00.0000 UTC,19.689260047223453,-21.366893299855246,11.00907949697873
A.D. 2020-Jan-22 00:00:00.0000 UTC,19.697593317732117,-21.34794992394705,11.006975903595283
A.D. 2020-Jan-23 00:00:00.0000 UTC,19.705913391905305,-21.32894089963754,11.00461154948139
A.D. 2020-Jan-24 00:00:00.0000 UTC,19.714218787158124,-21.30987025288035,11.001986917678375
A.D. 2020-Jan-25 00:00:00.0000 UTC,19.722508023187867,-21.29074208268245,10.999102631571334
A.D. 2020-Jan-26 00:00:00.0000 UTC,19.730779628378855,-21.271560552255064,10.995959448717878
A.D. 2020-Jan-27 00:00:00.0000 UTC,19.739032144963794,-21.252329880708228,10.992558251413286
A.D. 2020-Jan-28 00:00:00.0000 UTC,19.747264132734134,-21.233054335838204,10.988900035477341
A.D. 2020-Jan-29 00:00:00.0000 UTC,19.755474171347814,-21.213738228279574,10.984985898825675
A.D. 2020-Jan-30 00:00:00.0000 UTC,19.763660861522983,-21.194385906955418,10.980817031108003
A.D. 2020-Jan-31 00:00:00.0000 UTC,19.771822825564726,-21.175001755458776,10.976394705155386
A.D. 2020-Feb-01 00:00:00.0000 UTC,19.779958707723843,-21.15559018880196,10.97172027033168
A.D. 2020-Feb-02 00:00:00.0000 UTC,19.788067174842304,-21.13615564989033,10.966795147252832
A.D. 2020-Feb-03 00:00:00.0000 UTC,19.796146917615342,-21.11670260510983,10.961620822774897
A.D. 2020-Feb-04 00:00:00.0000 UTC,19.804196652595063,-21.097235538585537,10.956198843669549
A.D. 2020-Feb-05 00:00:00.0000 UTC,19.81221512474981,-21.077758945013684,10.95053080706944
A.D. 2020-Feb-06 00:00:00.0000 UTC,19.82020110994896,-21.0582773215857,10.944618345762622
A.D. 2020-Feb-07 00:00:00.0000 UTC,19.828153416190524,-21.038795160438216,10.938463107131037
A.D. 2020-Feb-08 00:00:00.0000 UTC,19.83607088190453,-21.019316944125418,10.932066726410692
A.D. 2020-Feb-09 00:00:00.0000 UTC,19.843952369634525,-20.999847147290577,10.925430798087056
A.D. 2020-Feb-10 00:00:00.0000 UTC,19.851796754286507,-20.980390247164078,10.918556852668386
A.D. 2020-Feb-11 00:00:00.0000 UTC,19.859602907036795,-20.96095074314359,10.911446347571472
A.D. 2020-Feb-12 00:00:00.0000 UTC,19.86736967815665,-20.941533182130133,10.904100678163203
A.D. 2020-Feb-13 00:00:00.0000 UTC,19.87509588304004,-20.92214218349962,10.896521208330041
A.D. 2020-Feb-14 00:00:00.0000 UTC,19.88278029470387,-20.902782457572123,10.888709312891175
A.D. 2020-Feb-15 00:00:00.0000 UTC,19.890421643542705,-20.88345881427001,10.880666421057164
A.D. 2020-Feb-16 00:00:00.0000 UTC,19.898018622761185,-20.864176162346897,10.87239405222392
A.D. 2020-Feb-17 00:00:00.0000 UTC,19.905569896866467,-20.844939501993284,10.863893840269014
A.D. 2020-Feb-18 00:00:00.0000 UTC,19.913074110903317,-20.825753914082075,10.855167546889732
A.D. 2020-Feb-19 00:00:00.0000 UTC,19.920529899044844,-20.806624548474822,10.8462170667141
A.D. 2020-Feb-20 00:00:00.0000 UTC,19.92793589203368,-20.787556612636934,10.837044427123125
A.D. 2020-Feb-21 00:00:00.0000 UTC,19.935290723496156,-20.76855536093103,10.827651784916329
A.D. 2020-Feb-22 00:00:00.0000 UTC,19.942593035330148,-20.749626084538427,10.818041420989466
A.D. 2020-Feb-23 00:00:00.0000 UTC,19.949841482330324,-20.730774101899307,10.808215733525872
A.D. 2020-Feb-24 00:00:00.0000 UTC,19.95703473610537,-20.712004749678183,10.798177229939531
A.D. 2020-Feb-25 00:00:00.0000 UTC,19.964171488260646,-20.69332337439869,10.787928517850167
A.D. 2020-Feb-26 00:00:00.0000 UTC,19.97125045281552,-20.674735324931664,10.777472295544255
A.D. 2020-Feb-27 00:00:00.0000 UTC,19.978270367894773,-20.656245945933637,10.76681134250213
A.D. 2020-Feb-28 00:00:00.0000 UTC,19.985229996843277,-20.63786057214671,10.755948510534752
A.D. 2020-Feb-29 00:00:00.0000 UTC,19.99212812901545,-20.619584523252332,10.74488671584237
A.D. 2020-Mar-01 00:00:00.0000 UTC,19.998963580545595,-20.601423098791724,10.73362893191705
A.D. 2020-Mar-02 00:00:00.0000 UTC,20.00573519538617,-20.583381572584056,10.722178182728625
A.D. 2020-Mar-03 00:00:00.0000 UTC,20.01244184678973,-20.565465186141978,10.710537535130072
A.D. 2020-Mar-04 00:00:00.0000 UTC,20.019082439183563,-20.5476791408663,10.69871008898127
A.D. 2020-Mar-05 00:00:00.0000 UTC,20.02565591001805,-20.53002858938711,10.686698963278907
A.D. 2020-Mar-06 00:00:00.0000 UTC,20.032161230657177,-20.512518627380437,10.674507276904297
A.D. 2020-Mar-07 00:00:00.0000 UTC,20.03859740481948,-20.49515428847344,10.662138123917778
A.D. 2020-Mar-08 00:00:00.0000 UTC,20.0449634627725,-20.477940546002795,10.649594546022145
A.D. 2020-Mar-09 00:00:00.0000 UTC,20.05125844995357,-20.46088232542753,10.636879508540398
