Time,ra,dec,distance
A.D. 2020-Jan-01 00:00:00.0000 UTC,2.0266954301787914,11.847031719145512,19.418802283614642
A.D. 2020-Jan-02 00:00:00.0000 UTC,2.0261559235278304,11.844696064649723,19.434714016194476
A.D. 2020-Jan-03 00:00:00.0000 UTC,2.02567100409139,11.842655400007622,19.450737036709313
A.D. 2020-Jan-04 00:00:00.0000 UTC,2.025240866179764,11.840910696782496,19.466866006865615
A.D. 2020-Jan-05 00:00:00.0000 UTC,2.0248656793218935,11.839462770392899,19.483095613399108
A.D. 2020-Jan-06 00:00:00.0000 UTC,2.024545589133513,11.838312283986584,19.499420575390054
A.D. 2020-Jan-07 00:00:00.0000 UTC,2.0242807185160046,11.837459753753368,19.515835653967475
A.D. 2020-Jan-08 00:00:00.0000 UTC,2.024071169567945,11.836905558136777,19.532335663712004
A.D. 2020-Jan-09 00:00:00.0000 UTC,2.0239170265479784,11.83664995344661,19.54891548380377
A.D. 2020-Jan-10 00:00:00.0000 UTC,2.023818360038127,11.836693097562357,19.565570065588048
A.D. 2020-Jan-11 00:00:00.0000 UTC,2.0237752320792293,11.837035081354728,19.58229443233421
A.D. 2020-Jan-12 00:00:00.0000 UTC,2.0237877015413974,11.837675964276302,19.599083667432957
A.D. 2020-Jan-13 00:00:00.0000 UTC,2.023855828565284,11.83861580740841,19.61593288975871
A.D. 2020-Jan-14 00:00:00.0000 UTC,2.0239796768607956,11.839854695994347,19.632837218955494
A.D. 2020-Jan-15 00:00:00.0000 UTC,2.0241593131336995,11.841392745510392,19.64979173715054
A.D. 2020-Jan-16 00:00:00.0000 UTC,2.0243948037449044,11.843230090037995,19.66679145491606
A.D. 2020-Jan-17 00:00:00.0000 UTC,2.0246862094547553,11.845366856642594,19.683831287470177
A.D. 2020-Jan-18 00:00:00.0000 UTC,2.0250335794087295,11.847803132171379,19.70090604344539
A.D. 2020-Jan-19 00:00:00.0000 UTC,2.025436945353092,11.850538928675103,19.71801042519544
A.D. 2020-Jan-20 00:00:00.0000 UTC,2.025896316667885,11.85357415165788,19.73513903789211
A.D. 2020-Jan-21 00:00:00.0000 UTC,2.026411676439152,11.856908573180958,19.752286404554987
A.D. 2020-Jan-22 00:00:00.0000 UTC,2.026982978590322,11.86054181046877,19.769446984844397
A.D. 2020-Jan-23 00:00:00.0000 UTC,2.0276101460403897,11.864473310185923,19.78661519612212
A.D. 2020-Jan-24 00:00:00.0000 UTC,2.028293069866376,11.86870233854388,19.803785435562116
A.D. 2020-Jan-25 00:00:00.0000 UTC,2.0290316094392638,11.87322797735584,19.82095210202853
A.D. 2020-Jan-26 00:00:00.0000 UTC,2.029825593441548,11.87804912581624,19.838109616321898
A.D. 2020-Jan-27 00:00:00.0000 UTC,2.0306748215799133,11.883164507179094,19.85525243851316
A.D. 2020-Jan-28 00:00:00.0000 UTC,2.0315790667238622,11.888572678903857,19.872375081544558
A.D. 2020-Jan-29 00:00:00.0000 UTC,2.0325380771731654,11.8942720445049,19.88947212096906
A.D. 2020-Jan-30 00:00:00.0000 UTC,2.033551578796723,11.900260865416456,19.90653820140411
A.D. 2020-Jan-31 00:00:00.0000 UTC,2.0346192768780225,11.90653727162322,19.923568040793654
A.D. 2020-Feb-01 00:00:00.0000 UTC,2.0357408576204343,11.913099270462249,19.940556433813473
A.D. 2020-Feb-02 00:00:00.0000 UTC,2.0369159893854185,11.91994475373113,19.95749825572568
A.D. 2020-Feb-03 00:00:00.0000 UTC,2.0381443238470163,11.927071503964262,19.974388467727085
A.D. 2020-Feb-04 00:00:00.0000 UTC,2.0394254973442476,11.93447720144188,19.991222124339828
A.D. 2020-Feb-05 00:00:00.0000 UTC,2.0407591327879997,11.942159434130721,20.007994382592386
A.D. 2020-Feb-06 00:00:00.0000 UTC,2.0421448424980944,11.950115713138285,20.024700511533382
A.D. 2020-Feb-07 00:00:00.0000 UTC,2.0435822322381356,11.958343495966671,20.041335899040227
A.D. 2020-Feb-08 00:00:00.0000 UTC,2.045070906392233,11.96684021824846,20.05789605134784
A.D. 2020-Feb-09 00:00:00.0000 UTC,2.0466104736575126,11.975603331318013,20.07437658026212
A.D. 2020-Feb-10 00:00:00.0000 UTC,2.048200551965475,11.98463033855171,20.090773175005886
A.D. 2020-Feb-11 00:00:00.0000 UTC,2.04984077099621,11.99391882020374,20.107081560606044
A.D. 2020-Feb-12 00:00:00.0000 UTC,2.051530771051968,12.003466437505883,20.123297450909835
A.D. 2020-Feb-13 00:00:00.0000 UTC,2.0532701982313557,12.01327091306727,20.13941650790729
A.D. 2020-Feb-14 00:00:00.0000 UTC,2.0550586971743647,12.023329993033265,20.155434317144547
A.D. 2020-Feb-15 00:00:00.0000 UTC,2.0568959033192953,12.033641401920564,20.171346382664314
A.D. 2020-Feb-16 00:00:00.0000 UTC,2.058781436329195,12.044202800828272,20.187148138272647
A.D. 2020-Feb-17 00:00:00.0000 UTC,2.0607148954984593,12.05501175539307,20.20283496851231
A.D. 2020-Feb-18 00:00:00.0000 UTC,2.062695857139175,12.066065714917537,20.21840223299196
A.D. 2020-Feb-19 00:00:00.0000 UTC,2.064723873507078,12.077362000949675,20.23384528996147
A.D. 2020-Feb-20 00:00:00.0000 UTC,2.066798472751252,12.088897802607425,20.24915951737934
A.D. 2020-Feb-21 00:00:00.0000 UTC,2.0689191594954925,12.100670176343167,20.26434033124429
A.D. 2020-Feb-22 00:00:00.0000 UTC,2.0710854158264445,12.11267604871075,20.27938320156592
A.D. 2020-Feb-23 00:00:00.0000 UTC,2.07329670258609,12.124912221434089,20.294283666337726
A.D. 2020-Feb-24 00:00:00.0000 UTC,2.0755524609184857,12.137375378447244,20.309037343621924
A.D. 2020-Feb-25 00:00:00.0000 UTC,2.077852114016845,12.150062094597928,20.323639941641336
A.D. 2020-Feb-26 00:00:00.0000 UTC,2.0801950689868285,12.16296884553089,20.338087266748683
A.D. 2020-Feb-27 00:00:00.0000 UTC,2.0825807187176344,12.176092018083768,20.352375229321982
A.D. 2020-Feb-28 00:00:00.0000 UTC,2.085008443656179,12.189427920486532,20.36649984793376
A.D. 2020-Feb-29 00:00:00.0000 UTC,2.0874776134185673,12.202972791826841,20.380457252438116
A.D. 2020-Mar-01 00:00:00.0000 UTC,2.0899875882418426,12.216722810618636,20.394243686802707
A.D. 2020-Mar-02 00:00:00.0000 UTC,2.0925377203662836,12.230674102837748,20.4078555125064
A.D. 2020-Mar-03 00:00:00.0000 UTC,2.0951273555318553,12.244822750402715,20.4212892130719
A.D. 2020-Mar-04 00:00:00.0000 UTC,2.0977558348566747,12.259164801702216,20.434541399741377
A.D. 2020-Mar-05 00:00:00.0000 UTC,2.1004224974128074,12.273696286252859,20.447608817349327
A.D. 2020-Mar-06 00:00:00.0000 UTC,2.1031266837705695,12.288413235591078,20.46048834807039
A.D. 2020-Mar-07 00:00:00.0000 UTC,2.1058677405631903,12.303311711510425,20.473177009136485
A.D. 2020-Mar-08 00:00:00.0000 UTC,2.108645025653149,12.318387840141508,20.48567193959326
A.D. 2020-Mar-09 00:00:00.0000 UTC,2.11145791280828,12.333637846138073,20.49797037209373
A.D. 2020-Mar-10 00:00:00.0000 UTC,2.1143057942312944,12.349058076980794,20.510069589913535
A.D. 2020-Mar-11 00:00:00.0000 UTC,2.117188079370508,12.36464500649805,20.521966876267847
A.D. 2020-Mar-12 00:00:00.0000 UTC,2.1201041895181874,12.380395211964156,20.533659468924913
A.D. 2020-Mar-13 00:00:00.0000 UTC,2.123053549371321,12.396305329142669,20.54514453318736
A.D. 2020-Mar-14 00:00:00.0000 UTC,2.126035577923158,12.412371998249586,20.556419159333817
A.D. 2020-Mar-15 00:00:00.0000 UTC,2.129049680984837,12.428591815363225,20.567480381083485
A.D. 2020-Mar-16 00:00:00.0000 UTC,2.1320952465345973,12.444961298427495,20.578325205648657
A.D. 2020-Mar-17 00:00:00.0000 UTC,2.135171642842617,12.461476869530237,20.588950645740056
A.D. 2020-Mar-18 00:00:00.0000 UTC,2.13827821858854,12.478134850023546,20.5993537473926
A.D. 2020-Mar-19 00:00:00.0000 UTC,2.1414143040630202,12.49493146347416,20.609531611467137
A.D. 2020-Mar-20 00:00:00.0000 UTC,2.1445792127689085,12.511862842230155,20.61948140933277
A.D. 2020-Mar-21 00:00:00.0000 UTC,2.1477722430440447,12.52892503500553,20.629200394321483
A.D. 2020-Mar-22 00:00:00.0000 UTC,2.1509926795727563,12.546114014348184,20.638685910581913
A.D. 2020-Mar-23 00:00:00.0000 UTC,2.1542397947984466,12.563425683822462,20.64793540050516
A.D. 2020-Mar-24 00:00:00.0000 UTC,2.157512850307876,12.580855885200508,20.6569464113347
A.D. 2020-Mar-25 00:00:00.0000 UTC,2.160811098255339,12.5984004060362,20.665716601116635
A.D. 2020-Mar-26 00:00:00.0000 UTC,2.1641337828609966,12.616054987844128,20.674243743887143
A.D. 2020-Mar-27 00:00:00.0000 UTC,2.167480141978246,12.633815334879385,20.682525733945763
A.D. 2020-Mar-28 00:00:00.0000 UTC,2.1708494087006844,12.651677123343772,20.690560589188625
A.D. 2020-Mar-29 00:00:00.0000 UTC,2.174240812984515,12.669636010836163,20.698346453672357
A.D. 2020-Mar-30 00:00:00.0000 UTC,2.1776535832995463,12.687687646058043,20.705881599733615
A.D. 2020-Mar-31 00:00:00.0000 UTC,2.1810869483842206,12.705827679160572,20.713164429976533
A.D. 2020-Apr-01 00:00:00.0000 UTC,2.1845401392500565,12.724051773593548,20.720193479156936
A.D. 2020-Apr-02 00:00:00.0000 UTC,2.188012391629856,12.742355620731722,20.726967415365
A.D. 2020-Apr-03 00:00:00.0000 UTC,2.1915029490490503,12.760734958655672,20.733485038914743
A.D. 2020-Apr-04 00:00:00.0000 UTC,2.1950110665581506,12.77918559584968,20.739745276142543
