Time,ra,dec,distance
A.D. 2020-Jan-01 00:00:00.0000 UTC,21.144430913952085,-18.345108749740408,1.2780567521485597
A.D. 2020-Jan-02 00:00:00.0000 UTC,21.226354241583095,-17.975601042955304,1.2724115570703662
A.D. 2020-Jan-03 00:00:00.0000 UTC,21.30786798794735,-17.5980219876016,1.2667362628466878
A.D. 2020-Jan-04 00:00:00.0000 UTC,21.388972141020435,-17.21258986957993,1.261031035610001
A.D. 2020-Jan-05 00:00:00.0000 UTC,21.46966737184737,-16.819524317203634,1.2552960644748723
A.D. 2020-Jan-06 00:00:00.0000 UTC,21.549955020839928,-16.41904601364417,1.2495315628350574
A.D. 2020-Jan-07 00:00:00.0000 UTC,21.629837092326813,-16.011376382391372,1.2437377694080578
A.D. 2020-Jan-08 00:00:00.0000 UTC,21.709316257987574,-15.596737234519642,1.2379149472465483
A.D. 2020-Jan-09 00:00:00.0000 UTC,21.788395866970433,-15.17535037617561,1.23206337866368
A.D. 2020-Jan-10 00:00:00.0000 UTC,21.867079956561486,-14.747437192268634,1.226183354229259
A.D. 2020-Jan-11 00:00:00.0000 UTC,21.945373253209883,-14.313218245858225,1.2202751550735658
A.D. 2020-Jan-12 00:00:00.0000 UTC,22.023281151740754,-13.872912953251863,1.2143390298149717
A.D. 2020-Jan-13 00:00:00.0000 UTC,22.10080966332322,-13.426739398008067,1.2083751699450147
A.D. 2020-Jan-14 00:00:00.0000 UTC,22.177965330948183,-12.974914322321917,1.2023836891684447
A.D. 2020-Jan-15 00:00:00.0000 UTC,22.25475512178036,-12.517653287109901,1.1963646117424684
A.D. 2020-Jan-16 00:00:00.0000 UTC,22.331186313156646,-12.055170945534813,1.1903178722004226
A.D. 2020-Jan-17 00:00:00.0000 UTC,22.40726638919661,-11.587681353398036,1.1842433253905988
A.D. 2020-Jan-18 00:00:00.0000 UTC,22.48300295880457,-11.115398250800855,1.1781407633494358
A.D. 2020-Jan-19 00:00:00.0000 UTC,22.558403697750254,-10.638535279132919,1.1720099350380329
A.D. 2020-Jan-20 00:00:00.0000 UTC,22.633476311750655,-10.15730612579469,1.165850565958089
A.D. 2020-Jan-21 00:00:00.0000 UTC,22.70822851549963,-9.671924604410203,1.1596623760742804
A.D. 2020-Jan-22 00:00:00.0000 UTC,22.782668023329247,-9.18260468054322,1.153445095503897
A.D. 2020-Jan-23 00:00:00.0000 UTC,22.856802548765753,-8.68956044886204,1.1471984778376427
A.D. 2020-Jan-24 00:00:00.0000 UTC,22.930639811236126,-8.193006064368413,1.1409223109172495
A.D. 2020-Jan-25 00:00:00.0000 UTC,23.004187548135363,-7.693155631538643,1.134616424756155
A.D. 2020-Jan-26 00:00:00.0000 UTC,23.077453529729635,-7.190223060653113,1.1282806963245497
A.D. 2020-Jan-27 00:00:00.0000 UTC,23.150445573695148,-6.684421906996415,1.121915051209946
A.D. 2020-Jan-28 00:00:00.0000 UTC,23.223171556082676,-6.175965212184205,1.115519462611969
A.D. 2020-Jan-29 00:00:00.0000 UTC,23.29563941634601,-5.665065365525341,1.1090939485418596
A.D. 2020-Jan-30 00:00:00.0000 UTC,23.36785715551596,-5.151933997369122,1.1026385683210325
A.D. 2020-Jan-31 00:00:00.0000 UTC,23.439832828197332,-4.636781907793786,1.096153419458386
A.D. 2020-Feb-01 00:00:00.0000 UTC,23.511574530467218,-4.1198190248792885,1.0896386357734353
A.D. 2020-Feb-02 00:00:00.0000 UTC,23.583090386821596,-3.601254378353138,1.0830943872954144
A.D. 2020-Feb-03 00:00:00.0000 UTC,23.654388540079065,-3.081296066812604,1.0765208820490753
A.D. 2020-Feb-04 00:00:00.0000 UTC,23.725477148633193,-2.5601511900365717,1.0699183693132042
A.D. 2020-Feb-05 00:00:00.0000 UTC,23.796364395413878,-2.0380257133417143,1.0632871432616573
A.D. 2020-Feb-06 00:00:00.0000 UTC,23.867058511776136,-1.5151242323441376,1.0566275450437348
A.D. 2020-Feb-07 00:00:00.0000 UTC,23.93756781629549,-0.9916496209496214,1.0499399605000435
A.D. 2020-Feb-08 00:00:00.0000 UTC,0.007900762349828004,-0.46780258070828523,1.0432248103297166
A.D. 2020-Feb-09 00:00:00.0000 UTC,0.07806598016384887,0.05621883395254881,1.0364825304330343
A.D. 2020-Feb-10 00:00:00.0000 UTC,0.1480722923943239,0.5802195818123199,1.0297135429931485
A.D. 2020-Feb-11 00:00:00.0000 UTC,0.21792868341837768,1.104007740008535,1.0229182231332339
A.D. 2020-Feb-12 00:00:00.0000 UTC,0.2876442150947978,1.6273942527202547,1.0160968694691512
A.D. 2020-Feb-13 00:00:00.0000 UTC,0.35722790161481094,2.150192351048905,1.009249686819327
A.D. 2020-Feb-14 00:00:00.0000 UTC,0.4266885713732755,2.672216792803119,1.0023767850600969
A.D. 2020-Feb-15 00:00:00.0000 UTC,0.4960347449659859,3.1932831147522602,0.9954781921770708
A.D. 2020-Feb-16 00:00:00.0000 UTC,0.5652745466076496,3.713207041699054,0.9885538755785712
A.D. 2020-Feb-17 00:00:00.0000 UTC,0.6344156509847577,4.2318041053307525,0.9816037652973291
A.D. 2020-Feb-18 00:00:00.0000 UTC,0.7034652573396949,4.748889450259642,0.9746277747761806
A.D. 2020-Feb-19 00:00:00.0000 UTC,0.7724300797451755,5.264277771183695,0.9676258175334344
A.D. 2020-Feb-20 00:00:00.0000 UTC,0.8413163446637616,5.777783326893341,0.9605978198421414
A.D. 2020-Feb-21 00:00:00.0000 UTC,0.9101297906302706,6.289219994897316,0.9535437303447786
A.D. 2020-Feb-22 00:00:00.0000 UTC,0.9788756680728973,6.79840134962638,0.9464635275460385
A.D. 2020-Feb-23 00:00:00.0000 UTC,1.0475587390631513,7.305140759832136,0.9393572257952439
A.D. 2020-Feb-24 00:00:00.0000 UTC,1.1161832772225386,7.809251505431905,0.9322248800061552
A.D. 2020-Feb-25 00:00:00.0000 UTC,1.1847530676040867,8.310546912527046,0.9250665891423647
A.D. 2020-Feb-26 00:00:00.0000 UTC,1.2532714056774703,8.808840500928865,0.9178824984808792
A.D. 2020-Feb-27 00:00:00.0000 UTC,1.3217410940873848,9.303946134646988,0.9106728008148344
A.D. 2020-Feb-28 00:00:00.0000 UTC,1.3901644359276926,9.795678164840083,0.9034377369774761
A.D. 2020-Feb-29 00:00:00.0000 UTC,1.4585432239504137,10.283851557680979,0.8961775962649716
A.D. 2020-Mar-01 00:00:00.0000 UTC,1.5268787263171097,10.768282006229201,0.8888927174322225
A.D. 2020-Mar-02 00:00:00.0000 UTC,1.5951716710563641,11.248786034996803,0.8815834908909586
A.D. 2020-Mar-03 00:00:00.0000 UTC,1.6634222331834412,11.725181117740123,0.8742503625191166
A.D. 2020-Mar-04 00:00:00.0000 UTC,1.7316300302822234,12.197285842283643,0.8668938390407823
A.D. 2020-Mar-05 00:00:00.0000 UTC,1.799794133773645,12.6649201686253,0.8595144941761697
A.D. 2020-Mar-06 00:00:00.0000 UTC,1.8679131029897964,13.127905832133909,0.8521129736438194
A.D. 2020-Mar-07 00:00:00.0000 UTC,1.9359850456426408,13.586066930558243,0.8446899957687581
A.D. 2020-Mar-08 00:00:00.0000 UTC,2.0040076992323113,14.039230686463153,0.837246343518966
A.D. 2020-Mar-09 00:00:00.0000 UTC,2.0719785135080233,14.487228289748925,0.8297828444113109
A.D. 2020-Mar-10 00:00:00.0000 UTC,2.1398946999276243,14.929895624399691,0.8223003380356362
A.D. 2020-Mar-11 00:00:00.0000 UTC,2.207753211637545,15.367073638122378,0.8147996365949657
A.D. 2020-Mar-12 00:00:00.0000 UTC,2.2755506360566127,15.79860819360694,0.807281488877214
A.D. 2020-Mar-13 00:00:00.0000 UTC,2.343283016067811,16.22434943612203,0.7997465583988895
A.D. 2020-Mar-14 00:00:00.0000 UTC,2.4109456438668366,16.644150906908603,0.7921954209362947
A.D. 2020-Mar-15 00:00:00.0000 UTC,2.4785328751289954,17.057868696623174,0.7846285788844943
A.D. 2020-Mar-16 00:00:00.0000 UTC,2.5460379918993246,17.46536084829502,0.7770464848912454
A.D. 2020-Mar-17 00:00:00.0000 UTC,2.6134531174587994,17.866487072932458,0.7694495669598045
A.D. 2020-Mar-18 00:00:00.0000 UTC,2.680769170009146,18.261108728306457,0.7618382500407453
A.D. 2020-Mar-19 00:00:00.0000 UTC,2.7479758376688563,18.649088967082022,0.754212972399066
A.D. 2020-Mar-20 00:00:00.0000 UTC,2.8150615606568117,19.030292967569537,0.746574197233039
A.D. 2020-Mar-21 00:00:00.0000 UTC,2.8820135123399115,19.40458818881752,0.7389224209374354
A.D. 2020-Mar-22 00:00:00.0000 UTC,2.948817575912366,19.771844620835463,0.7312581794558213
A.D. 2020-Mar-23 00:00:00.0000 UTC,3.015458316823246,20.131935021831705,0.7235820538091813
A.D. 2020-Mar-24 00:00:00.0000 UTC,3.0819189527172863,20.48473514613224,0.7158946754264063
A.D. 2020-Mar-25 00:00:00.0000 UTC,3.148181322963169,20.830123970306726,0.7081967315058736
A.D. 2020-Mar-26 00:00:00.0000 UTC,3.214225859284521,21.167983923328624,0.7004889703845871
A.D. 2020-Mar-27 00:00:00.0000 UTC,3.2800315580804558,21.498201121978383,0.6927722068086275
A.D. 2020-Mar-28 00:00:00.0000 UTC,3.3455759541964465,21.82066560768766,0.6850473270758758
A.D. 2020-Mar-29 00:00:00.0000 UTC,3.410835095682303,22.135271578268163,0.677315294198462
A.D. 2020-Mar-30 00:00:00.0000 UTC,3.4757835197678917,22.44191760920858,0.6695771534282403
A.D. 2020-Mar-31 00:00:00.0000 UTC,3.54039423206717,22.74050686546626,0.6618340386042565
A.D. 2020-Apr-01 00:00:00.0000 UTC,3.604638693840172,23.030947316025824,0.6540871797105354
A.D. 2020-Apr-02 00:00:00.0000 UTC,3.6684868255990217,23.31315197874463,0.6463379116657887
A.D. 2020-Apr-03 00:00:00.0000 UTC,3.731907038474795,23.58703923912741,0.6385876835849588
A.D. 2020-Apr-04 00:00:00.0000 UTC,3.7948663054109786,23.852533295960114,0.6308380665155843
A.D. 2020-Apr-05 00:00:00.0000 UTC,3.8573302789348523,24.109564775383188,0.6230907561652925
A.D. 2020-Apr-06 00:00:00.0000 UTC,3.91926344729352,24.35807150544255,0.6153475661358633
A.D. 2020-Apr-07 00:00:00.0000 UTC,3.980629296410564,24.597999349227127,0.6076104079787816
A.D. 2020-Apr-08 00:00:00.0000 UTC,4.041390421279409,24.829302886220688,0.5998812581683797
A.D. 2020-Apr-09 00:00:00.0000 UTC,4.10150852651824,25.051945684082696,0.5921621182340873
A.D. 2020-Apr-10 00:00:00.0000 UTC,4.160944286542382,25.265899990460085,0.5844549793696787
A.D. 2020-Apr-11 00:00:00.0000 UTC,4.219657090684895,25.471145881007434,0.5767618026215732
A.D. 2020-Apr-12 00:00:00.0000 UTC,4.2776047427505635,25.66767009881287,0.5690845195404342
A.D. 2020-Apr-13 00:00:00.0000 UTC,4.334743189556307,25.855464882064105,0.5614250501253302
A.D. 2020-Apr-14 00:00:00.0000 UTC,4.391026322973448,26.034526987657205,0.5537853301000345
A.D. 2020-Apr-15 00:00:00.0000 UTC,4.44640586155968,26.204856970883714,0.5461673396335475
A.D. 2020-Apr-16 00:00:00.0000 UTC,4.500831292899675,26.366458669103395,0.538573128611174
A.D. 2020-Apr-17 00:00:00.0000 UTC,4.554249850778731,26.519338792196788,0.5310048368410151
A.D. 2020-Apr-18 00:00:00.0000 UTC,4.60660650579829,26.663506527343454,0.5234647097485502
A.D. 2020-Apr-19 00:00:00.0000 UTC,4.65784395636428,26.798973091447426,0.5159551110476378
A.D. 2020-Apr-20 00:00:00.0000 UTC,4.707902614761844,26.925751192077563,0.5084785339943584
