Time,mercury,venus,mars,jupiter,saturn,uranus,neptune,ceres,chiron
A.D. 2020-Jan-01 00:00:00.0000 UTC,274.5279999777855,317.1664637092813,235.94750312055825,276.96726933300585,292.8290053734375,30.40043145268187,347.5080764871043,289.7053486451145,0.2791666666666666
A.D. 2020-Jan-02 00:00:00.0000 UTC,276.2655111827374,318.3953136237464,236.64085492977537,277.21764504406025,292.9537121254793,30.392338852917458,347.52607552513405,290.14865735444897,0.2791666666666666
A.D. 2020-Jan-03 00:00:00.0000 UTC,278.00897831543847,319.61801981921025,237.3358760195001,277.4678732165041,293.0786222548778,30.38506506137085,347.5445430213315,290.59181623949286,0.2791666666666666
A.D. 2020-Jan-04 00:00:00.0000 UTC,279.75797877289926,320.83458211530655,238.0325622297576,277.7179276628454,293.2037143928973,30.37861299269646,347.563473938701,291.0347998982296,0.2791666666666666
A.D. 2020-Jan-05 00:00:00.0000 UTC,281.5120807969025,322.0450105777105,238.73090950443307,277.96778270055853,293.3289674635832,30.372985189828402,347.58286314775887,291.4775838527294,0.2791666666666666
A.D. 2020-Jan-06 00:00:00.0000 UTC,283.2708423631554,323.2493253125989,239.43091393091694,278.21741318322114,293.4543607086038,30.368183837002693,347.6027054399526,291.92014460937844,0.2791666666666666
A.D. 2020-Jan-07 00:00:00.0000 UTC,285.03381011410585,324.4475563849022,240.132571783651,278.4667945481357,293.579873723878,30.36421077774007,347.622995546225,292.3624597541888,0.2791666666666666
A.D. 2020-Jan-08 00:00:00.0000 UTC,286.8005182123928,325.63974386981357,240.83587951872212,278.71590286613485,293.7054865021818,30.36106754351918,347.64372816229,292.8045080673594,0.2791666666666666
A.D. 2020-Jan-09 00:00:00.0000 UTC,288.57048694996854,326.82593800455646,241.54083365209735,278.9647148688653,293.8311794693531,30.358755398219675,347.66489798031716,293.246269622518,0.2791666666666666
A.D. 2020-Jan-10 00:00:00.0000 UTC,290.34322090373536,328.0061993484223,242.24743045283853,279.2132079203503,293.95693349529785,30.357275400571908,347.6864997237786,293.68772581907734,0.2791666666666666
