Time,mercury,venus,mars,jupiter,saturn,uranus,neptune,ceres,chiron
A.D. 2018-Jan-01 12:20:00.0000 UTC,257.3648316335882,279.7511056105591,222.0575497400739,224.62203112022905,271.30736538493863,22.73448793954209,343.44317684876813,142.21760795759968,353.60833333333335
A.D. 2018-Jan-02 12:20:00.0000 UTC,258.4381755772965,281.1234034292657,222.6733988540659,224.78898986426967,271.4338463352527,22.733811694828045,343.4637995574192,142.12817924779776,353.6333333333334
A.D. 2018-Jan-03 12:20:00.0000 UTC,259.5703792478489,282.4943880236137,223.29016098518704,224.9544032948853,271.5600871308454,22.733949461105762,343.4848652122244,142.03144126255327,353.6583333333333
A.D. 2018-Jan-04 12:20:00.0000 UTC,260.75561344130324,283.86381721415137,223.90783814413876,225.11824186591275,271.68606908888034,22.734902439702868,343.50636926623355,141.92743779965448,353.6833333333334
A.D. 2018-Jan-05 12:20:00.0000 UTC,261.9887024825338,285.2314509786127,224.52642800823264,225.28047456446848,271.811773010904,22.7366719327824,343.52830718266773,141.81622150802113,353.7083333333333
A.D. 2018-Jan-06 12:20:00.0000 UTC,263.26505176609317,286.59705140285104,225.14592429019683,225.44106905327465,271.937179059519,22.739259249936897,343.5506743458944,141.69785606444663,353.73333333333335
A.D. 2018-Jan-07 12:20:00.0000 UTC,264.5805807572919,287.9603832108555,225.76631747205371,225.59999194907633,272.0622667528343,22.742665596498153,343.573465987949,141.57241782365955,353.5125
A.D. 2018-Jan-08 12:20:00.0000 UTC,265.93166205286724,289.3212147071265,226.3875956229057,225.75720913571683,272.18701503958863,22.746891973142258,343.59667714120104,141.43999683183566,353.5416666666667
A.D. 2018-Jan-09 12:20:00.0000 UTC,267.31506650103495,290.67931889539415,227.0097451046346,225.91268604034727,272.3114024089514,22.75193910155832,343.62030261605304,141.30069731289356,353.5708333333334
A.D. 2018-Jan-10 12:20:00.0000 UTC,268.7279141424879,292.03447458256966,227.63275108864354,226.06638784388215,272.43540700052694,22.75780737731226,343.6443369963677,141.1546378214387,353.59999999999997
A.D. 2018-Jan-11 12:20:00.0000 UTC,270.1676306475362,293.38646736146023,228.25659789401809,226.21827962834232,272.55900669727885,22.764496843621654,343.6687746444922,141.00195123255722,353.6333333333334
