time,mercury,venus,mars,jupiter,saturn,uranus,neptune,pluto,ceres,sun,moon,north_node,south_node
A.D. 2018-Jan-01 12:20:00.0000 UTC,261.5627419,250.6180857,289.4461861,285.9804887,254.8259305,155.4243339,224.9181216,248.2276406,47.66317105,250.4417527,76.95947422,135.0489658,315.0489658
A.D. 2018-Jan-02 12:20:00.0000 UTC,261.2773423,250.5224551,289.4722309,286.6314958,255.1424527,158.1188302,225.9371908,248.6363338,48.24105569,250.4779641,70.76918516,134.990729,314.990729
A.D. 2018-Jan-03 12:20:00.0000 UTC,260.9722235,250.4380523,289.4995278,287.3086219,255.4578937,160.8957676,226.9340108,249.0413546,48.81013308,250.5216333,65.07875724,134.9449268,314.9449268
A.D. 2018-Jan-04 12:20:00.0000 UTC,260.6526862,250.3648478,289.528171,288.0138971,255.7723467,163.7483383,227.9091254,249.4428344,49.37047293,250.5727434,59.32874458,134.9152557,314.9152557
A.D. 2018-Jan-05 12:20:00.0000 UTC,260.3234033,250.3028065,289.5582644,288.7495514,256.0859069,166.6680231,228.8630899,249.8409045,49.92215165,250.6312759,52.91535854,134.902655,314.902655
A.D. 2018-Jan-06 12:20:00.0000 UTC,259.9884717,250.251888,289.5899205,289.5180358,256.3986697,169.6446503,229.7964676,250.235695,50.46524999,250.6972107,44.96679807,134.9054087,314.9054087
A.D. 2018-Jan-07 12:20:00.0000 UTC,259.6514666,250.212047,289.6232602,290.3220496,256.7107308,172.6665441,230.7098254,250.6273355,50.99985116,250.7705247,33.95869489,134.9196549,314.9196549
A.D. 2018-Jan-08 12:20:00.0000 UTC,259.3154937,250.1832382,289.6584127,291.1645708,257.0221856,175.720766,231.6037312,251.0159738,51.52603982,250.8511924,17.13702905,134.9401999,314.9401999
A.D. 2018-Jan-09 12:20:00.0000 UTC,258.9832406,250.1654154,289.6955167,292.0488907,257.3331304,178.7934372,232.4787504,251.4019467,52.04390159,250.9391854,351.3679381,134.9615062,314.9615062
A.D. 2018-Jan-10 12:20:00.0000 UTC,258.6570238,250.1585196,289.7347202,292.9786533,257.6436623,181.8701266,233.3354446,251.7846531,52.55352288,251.0344721,320.7537421,134.9787049,314.9787049
A.D. 2018-Jan-11 12:20:00.0000 UTC,258.3388318,250.1624766,289.7761815,293.9578977,257.9538801,184.9362798,234.1743694,252.1648763,53.0549911,251.1370184,296.775514,134.9884707,314.9884707
A.D. 2018-Jan-12 12:20:00.0000 UTC,258.030365,250.1772085,289.8200694,294.991108,258.2638848,187.9776574,234.9960738,252.5425851,53.54839486,251.2467872,281.5788264,134.989574,314.989574
A.D. 2018-Jan-13 12:20:00.0000 UTC,257.7330711,250.2026371,289.8665644,296.0832657,258.57378,190.9807486,235.8010989,252.9178774,54.03382395,251.3637389,271.8159274,134.9829413,314.9829413
A.D. 2018-Jan-14 12:20:00.0000 UTC,257.4481763,250.2386812,289.9158578,297.239909,258.8836718,193.9331318,236.5899766,253.290868,54.51136907,251.4878305,265.0135128,134.971188,314.971188
A.D. 2018-Jan-15 12:20:00.0000 UTC,257.1767137,250.2852561,289.9681533,298.4671977,259.1936698,196.8237631,237.3632292,253.6616748,54.9811221,251.6190169,259.8582425,134.9577827,314.9577827
A.D. 2018-Jan-16 12:20:00.0000 UTC,256.9195484,250.3422725,290.023667,299.7719829,259.503887,199.6431743,238.1213689,254.0304167,55.44317592,251.7572498,255.6418704,134.9459995,314.9459995
A.D. 2018-Jan-17 12:20:00.0000 UTC,256.677399,250.4096373,290.0826281,301.16188,259.8144402,202.3835817,238.8648976,254.3972134,55.89762452,251.9024785,251.9408086,134.9380435,314.9380435
A.D. 2018-Jan-18 12:20:00.0000 UTC,256.4508572,250.4872533,290.1452792,302.6453439,260.1254505,205.0389077,239.5943065,254.7621859,56.34456299,252.0546497,248.4578307,134.934514,314.934514
A.D. 2018-Jan-19 12:20:00.0000 UTC,256.2404041,250.5750194,290.2118755,304.23174,260.4370434,207.6047273,240.3100757,255.1254556,56.78408716,252.2137072,244.9317027,134.9345443,314.9345443
A.D. 2018-Jan-20 12:20:00.0000 UTC,256.0464254,250.6728302,290.2826859,305.9314088,260.7493487,210.0781588,241.0126743,255.4871453,57.21629361,252.3795919,241.0611058,134.9363222,314.9363222
A.D. 2018-Jan-21 12:20:00.0000 UTC,255.8692238,250.7805769,290.3579926,307.7557129,261.062501,212.4577133,241.7025602,255.8473786,57.6412796,252.5522415,236.395045,134.9378977,314.9378977
A.D. 2018-Jan-22 12:20:00.0000 UTC,255.7090305,250.8981464,290.438092,309.7170528,261.3766398,214.7431191,242.3801803,256.2062801,58.05914275,252.7315907,230.0968299,134.9379311,314.9379311
A.D. 2018-Jan-23 12:20:00.0000 UTC,255.5660143,251.0254213,290.5232944,311.8288328,261.6919093,216.9351364,243.0459699,256.5639751,58.46998069,252.9175704,220.3092822,134.9361415,314.9361415
A.D. 2018-Jan-24 12:20:00.0000 UTC,255.4402908,251.1622801,290.6139247,314.1053515,262.0084589,219.0353737,243.7003527,256.9205899,58.87389076,253.1101076,202.3587317,134.9333811,314.9333811
A.D. 2018-Jan-25 12:20:00.0000 UTC,255.3319288,251.3085963,290.7103238,316.5615799,262.3264432,221.0461141,244.3437405,257.2762513,59.27096969,253.309125,167.6143608,134.931329,314.931329
A.D. 2018-Jan-26 12:20:00.0000 UTC,255.2409578,251.4642388,290.81285,319.2127846,262.6460224,222.970157,244.9765331,257.6310867,59.66131335,253.5145408,126.8902328,134.9319117,314.9319117
A.D. 2018-Jan-27 12:20:00.0000 UTC,255.1673727,251.6290715,290.921882,322.0739415,262.9673635,224.8106779,245.5991179,257.9852247,60.04501669,253.7262684,103.3907798,134.9366432,314.9366432
A.D. 2018-Jan-28 12:20:00.0000 UTC,255.1111401,251.8029532,291.0378235,325.1588821,263.2906411,226.5711071,246.2118701,258.3387953,60.42217391,253.9442163,91.31594345,134.9460692,314.9460692
A.D. 2018-Jan-29 12:20:00.0000 UTC,255.0722027,251.9857384,291.1611089,328.4791251,263.6160398,228.2550289,246.8151527,258.6919314,60.79287935,254.168289,84.09554524,134.9594398,314.9594398
A.D. 2018-Jan-30 12:20:00.0000 UTC,255.0504849,252.1772781,291.29221,332.0423699,263.9437564,229.8660999,247.4093181,259.0447702,61.15722858,254.3983881,79.07537865,134.9746768,314.9746768
A.D. 2018-Jan-31 12:20:00.0000 UTC,255.0458974,252.3774215,291.4316421,335.8506861,264.2740013,231.4079855,247.9947098,259.3974545,61.51531945,254.6344139,75.1169,134.9886461,314.9886461
A.D. 2018-Feb-01 12:20:00.0000 UTC,255.0583401,252.586016,291.5799665,339.8985332,264.607,232.8843107,248.5716629,259.7501333,61.86725211,254.8762662,71.62557879,134.9976976,314.9976976
A.D. 2018-Feb-02 12:20:00.0000 UTC,255.0877049,252.8029077,291.7377932,344.1708679,264.9429918,234.2986233,249.1405052,260.1029604,62.21312782,255.1238445,68.1938588,134.9983865,314.9983865
A.D. 2018-Feb-03 12:20:00.0000 UTC,255.1338773,253.0279409,291.9057829,348.6417338,265.2822302,235.6543665,249.7015567,260.4560942,62.55304743,255.3770481,64.42089326,134.988258,314.988258
A.D. 2018-Feb-04 12:20:00.0000 UTC,255.1967377,253.2609573,292.0846517,353.2737885,265.624983,236.9548578,250.2551291,260.8096967,62.88710984,255.6357748,59.7335119,134.9665522,314.9665522
A.D. 2018-Feb-05 12:20:00.0000 UTC,255.2761637,253.5017958,292.2751754,358.0191824,265.971534,238.2032738,250.8015248,261.163934,63.21541106,255.8999215,53.02736245,134.9346749,314.9346749
A.D. 2018-Feb-06 12:20:00.0000 UTC,255.3720315,253.7502925,292.478196,2.821979971,266.3221853,239.4026406,251.3410375,261.5189769,63.53804411,256.1693834,41.62964396,134.896279,314.896279
A.D. 2018-Feb-07 12:20:00.0000 UTC,255.4842181,254.0062808,292.6946276,7.621943733,266.6772599,240.5558298,251.873952,261.8750019,63.85509925,256.4440543,18.25125866,134.8568351,314.8568351
A.D. 2018-Feb-08 12:20:00.0000 UTC,255.6126028,254.2695917,292.9254642,12.35910299,267.0371042,241.6655572,252.400545,262.2321928,64.16666442,256.7238269,334.5863401,134.8226659,314.8226659
A.D. 2018-Feb-09 12:20:00.0000 UTC,255.7570692,254.5400539,293.1717875,16.97827355,267.4020914,242.7343858,252.9210859,262.590741,64.47282566,257.008593,298.4199844,134.799567,314.799567
A.D. 2018-Feb-10 12:20:00.0000 UTC,255.9175064,254.8174942,293.4347751,21.43270777,267.7726241,243.7647291,253.4358368,262.9508471,64.77366728,257.2982432,281.3265797,134.7913001,314.7913001
A.D. 2018-Feb-11 12:20:00.0000 UTC,256.0938106,255.101737,293.715711,25.68634114,268.1491375,244.7588561,253.9450533,263.3127215,65.06927198,257.592667,272.5948439,134.7983439,314.7983439
A.D. 2018-Feb-12 12:20:00.0000 UTC,256.2858861,255.3926049,294.0159972,29.71450221,268.5321036,245.7188983,254.4489848,263.6765854,65.35972116,257.891753,267.3161059,134.8173102,314.8173102
A.D. 2018-Feb-13 12:20:00.0000 UTC,256.4936472,255.6899188,294.3371673,33.50330777,268.9220349,246.6468562,254.9478752,264.0426723,65.64509505,258.1953894,263.6797325,134.8413822,314.8413822
A.D. 2018-Feb-14 12:20:00.0000 UTC,256.7170192,255.9934978,294.6809003,37.04817273,269.3194894,247.5446061,255.4419631,264.4112287,65.92547269,258.5034634,260.9066523,134.8615856,314.8615856
A.D. 2018-Feb-15 12:20:00.0000 UTC,256.9559394,256.3031595,295.0490364,40.35189536,269.7250757,248.4139074,255.9314823,264.7825158,66.20093207,258.8158615,258.5985093,134.8688249,314.8688249
A.D. 2018-Feb-16 12:20:00.0000 UTC,257.2103592,256.61872,295.4435949,43.42269006,270.1394588,249.2564098,256.4166622,265.1568106,66.47155011,259.1324698,256.5094729,134.856052,314.856052
A.D. 2018-Feb-17 12:20:00.0000 UTC,257.480247,256.9399938,295.8667933,46.27240975,270.5633669,250.0736603,256.8977284,265.5344069,66.73740253,259.4531737,254.4462611,134.8200359,314.8200359
A.D. 2018-Feb-18 12:20:00.0000 UTC,257.7655875,257.2667938,296.3210701,48.91507668,270.9975985,250.8671102,257.3749022,265.9156174,66.99856366,259.7778575,252.2024918,134.7622605,314.7622605
A.D. 2018-Feb-19 12:20:00.0000 UTC,258.0663746,257.5989315,296.8091099,51.36574975,271.443031,251.6381212,257.8484018,266.300774,67.25510609,260.1064047,249.4763419,134.688731,314.688731
